age,title,bill_id,bill_number,summary,cluster,cluster_keyword
20,사법경찰관리의 직무를 수행할 자와 그 직무범위에 관한 법률 일부개정법률안,PRC_I1Z8B0J2U2D0Y1W5P2D7D4I0R6D8S1,2012040,중소벤처기업의 특허침해 및 기술탈취 행위 증가로 인해 특허청 공무원에게 사법경찰관리 직무수행 권한을 부여함,1,"[지능정보기술 전문인력 양성기관 지정 취소, 휴면예금 서민금융 지원, 광역교통축 지정 교통혼잡 해소, 대도시권 광역교통기능]"
20,정부보관금에 관한 법률 일부개정법률안(대안),PRC_G1W9S1G1T2K8G1G9Q4X6B5V0C8H6Y8,2024761,정부보관금 환급 누락 방지를 위해 환급청구권 소멸시효를 10년으로 연장하고 소멸시효 완성 전 통지를 의무화함,18,"[민원 처리, 협동조합, 국회의원선거, 법무사]"
20,국가유공자 등 예우 및 지원에 관한 법률 일부개정법률안(대안),PRC_E1N7K1O1Y3O0Q2E0U0C5S0L8M0A1A0,2010947,419혁명공로자의 생활고와 낮은 보상금 및 결혼 목적 인신매매범의 법 적용 배제 불합리성을 해결하기 위해 419혁명공로자 보상금을 적정 수준의 수당으로 변경하고 결혼 목적 인신매매범에 대한 법 적용을 제외함,2,"[디지털 전환, 온라인 플랫폼, 개인정보보호, 사이버보안]"
20,대통령직 인수에 관한 법률 일부개정법률안,PRC_W1E6X0V9V0P6I1G0T2Y2T5J1P8Y1G0,2002156,대통령당선인의 원활한 인수를 위한 체계적 지원 부족을 해소하기 위해 대통령직인수위원회의 공직후보자 검증 업무 및 정부 인사자료 활용 근거를 신설함,1,"[지능정보기술 전문인력 양성기관 지정 취소, 휴면예금 서민금융 지원, 광역교통축 지정 교통혼잡 해소, 대도시권 광역교통기능]"
20,실내공기질 관리법 일부개정법률안,PRC_H1S7C0K8A1D1Y1P7S4S5T5V8G8Z6V2,2008507,실내 건축자재 사전적합확인제도의 시험기관 지정 및 지도점검 규정 부재를 해결하기 위해 시험기관 지정 절차와 기준을 마련하고 관련 벌칙 및 과태료 규정을 신설함,9,"[하수처리수 재이용, 국가환경시료은행 설치, 새만금사업 추진 지원, 원자력 전 정보 공개]"
20,식품산업진흥법 일부개정법률안,ARC_Y1U6L0U6E2I7I1Y3U5J5B1L8M2S4P5,2000495,식품 수출 확대를 위해 식품인증 획득 지원 및 관련 사업을 수행할 식품수출 지원기관 지정 및 운영 근거를 마련함,8,"[식량자급률, 농어촌, 직접지불제, 먹거리]"
20,도선법 일부개정법률안(대안),PRC_F1S9T1C1A2D0Y1R7D0R7D2F1J9Q0L7,2024024,도선사 면허증 불법 대여 알선 행위 예방 및 법률 개정 권고를 반영하여 도선사 면허 관련 규정을 개선함,13,"[해양수산부, 원양어업허가, 해양수산생명자원, 공유수면]"
20,저수지·댐의 안전관리 및 재해예방에 관한 법률 일부개정법률안,ARC_E1L8U1P2R2J8E1Q5S1U0N3E9W6H9X1,2017860,저수지댐 관리의 효율성 및 재해 예방 강화를 위해 비상대처계획 수립 및 재검토 절차를 개선함,9,"[하수처리수 재이용, 국가환경시료은행 설치, 새만금사업 추진 지원, 원자력 전 정보 공개]"
20,국민영양관리법 일부개정법률안(대안),PRC_U1F8J0R9Q0A6W1G3G0B8S1O3J3A7L9,2016552,영양소 섭취기준의 적극적 활용 및 외국 영양사 자격 인정 기준 마련을 위해 영양소 섭취기준 활용 분야 예시 및 관련 고시 근거를 신설함,19,"[제대혈, 재난적의료비, 마약류, 고위험병원체]"
20,특허법 일부개정법률안,PRC_W1R8R1T2E2P8P1D7B5D9L1J9E5A4C1,2017894,특허침해자의 이익이 특허권자 생산능력을 초과하는 경우 발생하는 손해배상액 산정의 불합리성과 특허권 침해 예방의 미흡을 해소하기 위해 특허권자가 침해자의 이익 전액 반환을 청구할 수 있는 권리를 신설함,20,"[중소기업, 소상공인, 손실보상, 기술자료]"
20,행정규제기본법 일부개정법률안(대안),PRC_V1C8X1O2H2D7S1I0I3K8A5C8J1S6Z2,2019406,4차 산업혁명 시대의 신산업 경쟁력 강화를 위해 과거 경직된 규제로 인해 신기술 기반 신서비스 신제품의 시장출시가 어려워짐을 해결하고자 우선허용 사후규제 원칙을 적용하는 규제 특례 제도를 신설함,2,"[디지털 전환, 온라인 플랫폼, 개인정보보호, 사이버보안]"
20,비파괴검사기술의 진흥 및 관리에 관한 법률 일부개정법률안,PRC_Q1B8Z1O2F2V8F1B8P0F8N4E6Q9H4H3,2017901,화폐가치 변화로 인해 벌금형의 실효성이 저하됨을 해결하고자 징역 1년당 1천만원으로 벌금액을 개정함,3,"[벌금형, 과태료, 징역형, 법정형]"
20,항만법 일부개정법률안(대안),PRC_H1A8S1D1U2C8E1A7Y5S5C2B6R9O0R7,2017129,항만기본계획 시행계획 수립 및 보고 절차를 행정력 낭비 및 자율점검 실효성 강화를 위해 개선함,13,"[해양수산부, 원양어업허가, 해양수산생명자원, 공유수면]"
20,한국수출입은행법 일부개정법률안,PRC_A1D8I0H9R1D0M1V6V0G8Q4Q7K2Z7E4,2015410,수출입은행 해외 현지법인의 업무 범위 논란 및 감사원 국회 지적을 해소하기 위해 수출입은행의 해외 현지법인 출자 근거를 확대함,7,"[금융위원회, 사모펀드, 과태료, 투자자]"
20,경륜·경정법 일부개정법률안,PRC_S1H9M0K4Y0V3H1D8V1C2V1R4M3X2Y8,2019557,죄형법정주의 위반 소지 및 법률 이해도 저하 불법행위 처벌 수준 불균형을 해소하기 위해 벌칙 구성요건을 상향 규정하고 법률 용어를 정비하며 발매수득금 사용 범위를 현실화하고 불법 유사행위 처벌 수준을 상향 조정함,17,"[아동·청소년성착취물, 파산, 딥페이크, 사법경찰관리]"
20,폐기물관리법 일부개정법률안(대안),PRC_A1K9T0C7C1U8X1V5S2M0Q4J6Y7D8Y4,2023128,폐기물 불법 투기 및 부적정 처리 증가와 책임 회피 사례를 해결하기 위해 폐기물 관리 강화 및 처벌 수준 강화 등을 포함한 법률을 개정함,2,"[디지털 전환, 온라인 플랫폼, 개인정보보호, 사이버보안]"
20,항공안전기술원법 일부개정법률안,PRC_O1Z6B1I0Q2S4O1V7D5H6B3U8A4V1W7,2002873,행정법규의 과도하거나 과소한 행정형벌 편차를 국민권익위원회 권고 및 국회사무처 기준을 반영하여 개선함,3,"[벌금형, 과태료, 징역형, 법정형]"
20,국제항해선박 및 항만시설의 보안에 관한 법률 일부개정법률안,PRC_V1K6E1W1F2I3E1H6H0H3I0Q3W0Z2E5,2003797,항만 보안 강화를 위해 CCTV 설치 근거를 법률에 명시하고 운영 관리 지침을 마련함,13,"[해양수산부, 원양어업허가, 해양수산생명자원, 공유수면]"
20,국가회계법 일부개정법률안,PRC_D1C6U0Q8I0X4D1D8X1U1D4H3R4E3D6,2001422,국회의 결산 심사의 효율성을 높이기 위해 결산보고서에 세입세출결산 사업별설명서를 신설함,6,"[자치분권, 지방자치단체, 출자·출연 기관, 코로나19]"
20,종자산업법 일부개정법률안(대안),PRC_Y1G6S1G1E2M8W1F6N4J6C5H9B5S5U3,2004202,종자 관리 체계 강화 및 농가 지원 확대를 위해 묘의 품질 관리 및 유통을 강화하고 우수품종상 시상 근거를 마련하며 정부보급종 생산대행자 자격을 확대하고 국민기초생활 보장법 개정에 따른 수수료 면제 대상 기준을 조정함,2,"[디지털 전환, 온라인 플랫폼, 개인정보보호, 사이버보안]"
20,산림자원의 조성 및 관리에 관한 법률 일부개정법률안(대안),PRC_F1Q9U1N1K2S0T1K6R3I9K2Z5X2H8B0,2024026,국민의 알 권리 보장 및 과징금 징수 실효성 확보를 위해 법령 용어를 개정하고 강제징수 절차를 신설함,18,"[민원 처리, 협동조합, 국회의원선거, 법무사]"
20,첨단의료복합단지 지정 및 지원에 관한 특별법 일부개정법률안,PRC_D1U8K0U7S1Z0M1S7H1A7T1U0L6J7L5,2014324,기타공공기관 설치 근거 법률에 정관 관련 규정 미비를 보완하기 위해 정관 기재사항 및 변경 절차에 관한 조항을 신설함,18,"[민원 처리, 협동조합, 국회의원선거, 법무사]"
20,저작권법 일부개정법률안(대안),PRC_K1U7H0C2A2V0X1J8Y5Z8B5T4R9X9L5,2005915,저작권 신탁관리업자 및 저작권대리중개업자 결격사유에서 개정 민법 시행에 따른 성년후견제 도입을 반영하여 피성년후견인과 피한정후견인을 포함하도록 조문을 개정함,17,"[아동·청소년성착취물, 파산, 딥페이크, 사법경찰관리]"
20,중소기업 인력지원 특별법 일부개정법률안,PRC_S1N6X0U7N1U8V1Y6R3J3B4U7H2M3V5,2000960,청년 고용 지원 확대를 위해 청년 연령 기준을 29세 이하에서 34세 이하로 상향 조정함,18,"[민원 처리, 협동조합, 국회의원선거, 법무사]"
20,양육비 이행확보 및 지원에 관한 법률 일부개정법률안(대안),PRC_G2T0V0A5P0S6I1J5X3N3Q3Q9J0D7X7,2024980,양육비 채무 불이행 문제 해결을 위해 양육비 징수 및 채무자 제재 강화 방안을 마련함,14,"[트라우마 심리지원, 양육비 이행, 정신질환 치료, 노인친화도시]"
20,한국수자원공사법 일부개정법률안,PRC_M1S6M1G0S2G4T1Q8P2L4L3Z8A0V2J2,2002882,행정법규의 과도하거나 과소한 행정형벌 편차를 국민권익위원회 권고 및 국회사무처 기준을 반영하여 개선함,3,"[벌금형, 과태료, 징역형, 법정형]"
20,곤충산업의 육성 및 지원에 관한 법률 일부개정법률안(대안),PRC_C1F8A1R1I2H8M1E7D2B5D1J7L5N8Z4,2017120,신고 민원 처리의 투명성과 신속성 확보 및 곤충산업 발전을 위해 곤충 관련 신고 처리 절차를 명확히 규정하고 곤충종자보급센터 설립 근거를 마련함,8,"[식량자급률, 농어촌, 직접지불제, 먹거리]"
20,농어촌특별세법 일부개정법률안,ARC_K1S6J0N9F0L2Z2V0Y4L4P3F8V7Q6D3,2002114,중소기업 투자 지원 및 기업 고배당 정책 유도를 위해 농어촌특별세 비과세 대상에 소득세 감면 및 세율 인하 대상을 추가함,4,"[지방세, 체납, 관세사, 가산금]"
20,지방세외수입금의 징수 등에 관한 법률 일부개정법률안,ARC_G1Y9F0E9T2H7I1T5Y5D3V4O0L3E1K2,2022726,지방세외수입금 명칭 변경 및 징수 시스템 개선 등을 지방세외수입금 명칭의 유사성으로 인한 혼란 해소와 정보통신기술 발달 및 행정 효율 증대를 위해 추진함,1,"[지능정보기술 전문인력 양성기관 지정 취소, 휴면예금 서민금융 지원, 광역교통축 지정 교통혼잡 해소, 대도시권 광역교통기능]"
20,학교용지 확보 등에 관한 특례법 일부개정법률안(대안),PRC_B1T7M0K2X2P0Z1X8K3J2G2J2Y0T4K5,2005909,학교용지부담금의 관리 부실과 미납 가산금 과다 부과 부과대상 개발사업 범위 미흡 및 법적 제재 미비 등을 해결하기 위해 학교용지부담금 특별회계 설치 의무화 부과 절차 법률화 가산금 요율 인하 부과대상 사업 확대 미제출 또는 허위제출 시 과태료 부함,5,"[하자분쟁, 학교용지부담금, 소규모주택사업, 기계설비유지관리]"
20,장기공공임대주택 입주자 삶의 질 향상 지원법 일부개정법률안,PRC_W1D7M0X6H0F9Q1Y4U2H1S5R2C5A2R8,2007298,노후 공공장기임대주택 수선유지사업의 1년 단위 사업추진으로 인한 중장기 계획 수립의 어려움을 해결하기 위해 5년 단위 입주자 삶의 질 향상 기본계획 수립 시행 및 재정 지원 근거를 신설함,0,"[스마트도시, 국가시범도시, 국토교통과학기술, 공공임대주택]"
20,초·중등교육법 일부개정법률안,PRC_P1F6Z1Z2S0W8Q1D4E1K7S4J0R9C2K0,2004222,초중등교육 정책 효율화 및 연구 자료 확보를 위해 교육통계조사 관련 법적 근거를 신설함,10,"[연구부정행위, 교원소청심사위원회, 학교 밖 청소년, 성폭력]"
20,중소기업창업 지원법 일부개정법률안(대안),PRC_I1I8K0Y9W1X8G1E1E1B8L4M4Y5V5K6,2016537,모든 업종의 창업을 지원하고 신산업 육성 및 중소기업 창업투자 활성화를 위해 사행산업 등 일부 업종을 제외한 모든 업종을 창업 지원 대상에 포함함과 동시에 창업기획자 임원의 결격사유 발생 시 과도한 책임을 완화하기 위해 3개월의 유예기간을 부여함,20,"[중소기업, 소상공인, 손실보상, 기술자료]"
20,공인회계사법 일부개정법률안,PRC_J1W8Q0G4B1E6L1B7Z5M0O4Z3P3X6H4,2013080,회계법인의 분할 및 분할합병 근거를 신설하여 회계투명성 제고 및 회계부정 방지를 위한 회계법인 구조조정을 추진함,2,"[디지털 전환, 온라인 플랫폼, 개인정보보호, 사이버보안]"
20,한국국제협력단법 일부개정법률안,PRC_K1U9U1J0I2Y8E1A0G4B6Q2V6G6R4M2,2023070,한국국제협력단법의 목적 조항이 국제개발협력기본법과의 불일치 및 글로벌 인재 양성 사업의 법적 근거 마련 필요성으로 인해 개정함,18,"[민원 처리, 협동조합, 국회의원선거, 법무사]"
20,장기등 이식에 관한 법률 일부개정법률안(대안),PRC_H1L7O0T9T2L0T1I7C0B8J0A2Z8A0E2,2009647,장기등기증자의 희생정신 기리고 생명나눔문화 확산을 위해 생명나눔 주간을 신설하고 위로금 지원을 삭제하는 대신 추모 및 예우 사업을 추진함,19,"[제대혈, 재난적의료비, 마약류, 고위험병원체]"
20,개별소비세법 일부개정법률안,ARC_A1N6B0H9F0X2J2C0F4V4G1X1A2C4Z8,2002111,개별소비세 과세대상 및 세율 조정과 담배 세액 공제 사유 확대를 국민 소득 증가와 환경 문제 개선을 위해 추진함,4,"[지방세, 체납, 관세사, 가산금]"
20,자동차손해배상 보장법 일부개정법률안(대안),PRC_S1J7T0S9Z2R0F1P7C4Q3V2G0R9M0X5,2010078,자동차 및 건설기계 폐차 후에도 불필요한 보험 유지 피해를 방지하고 뺑소니 사고에 대한 사회적 경각심을 높이기 위해 자동차 의무보험 해지 요건을 신설하고 보험회사의 뺑소니 운전자 구상권 청구를 허용함,11,"[교통사고, 운전면허, 자동차, 분담금]"
20,개별소비세법 일부개정법률안,ARC_L1N7W0H9U0R1E1F7E2U0K2C3I2C5E2,2008994,유연탄 개별소비세 세율을 킬로그램당 30원에서 36원으로 상향 조정하여 안전하고 깨끗한 에너지 전환을 추진함,4,"[지방세, 체납, 관세사, 가산금]"
20,환자안전법 일부개정법률안(대안),PRC_G1P9J0A3F2L6Q1D4O0C2K0Z9P3S0B0,2023996,환자안전사고 보고체계 미흡 및 예방대책 부족을 해결하기 위해 중대한 환자안전사고 발생 시 의료기관의 보고 의무화 등 환자안전 관련 법규를 강화함,19,"[제대혈, 재난적의료비, 마약류, 고위험병원체]"
20,풍수해보험법 일부개정법률안(대안),PRC_P1A8W0X9K1V1I1Y9E4X7L4R3E3V4Y5,2017156,소상공인의 풍수해 피해로 인한 사회문제 발생을 방지하기 위해 풍수해보험 목적물에 소상공인 사업장 시설물을 명시적으로 규정함,18,"[민원 처리, 협동조합, 국회의원선거, 법무사]"
20,학교도서관진흥법 일부개정법률안(대안),PRC_H1U7B1O1L2L9O1R0Z4F6D0R6X0M4L1,2011638,초중고등학교 도서관의 사서교사 등 미배치로 인한 학교도서관 운영 어려움을 해소하기 위해 사서교사 실기교사 및 사서를 의무 배치하도록 함,10,"[연구부정행위, 교원소청심사위원회, 학교 밖 청소년, 성폭력]"
20,중소기업제품 구매촉진 및 판로지원에 관한 법률 일부개정법률안,PRC_Y1V7Q0S6K2C2S1H4I0B8R3X2M6Z1B7,2007516,시험연구원의 성능검사 지연 사례 증가로 인해 시험연구원 지정취소 또는 업무정지 사유에 검사 지연을 추가함,20,"[중소기업, 소상공인, 손실보상, 기술자료]"
20,주한미군 공여구역주변지역 등 지원 특별법 일부개정법률안,PRC_X1V7S0O2P0U9Z1Y6T4K7C4I9U5R4X0,2005523,공유수면관리법 폐지로 인한 법률 명칭 오류를 해소하기 위해 현행법 제35조제2항의 법률 명칭을 개정함,13,"[해양수산부, 원양어업허가, 해양수산생명자원, 공유수면]"
20,농약관리법 일부개정법률안(대안),PRC_J1P8H1R1I2V8N1B6G0L0Z5W0S1O5Q3,2017160,신고 민원의 투명하고 신속한 처리와 적극행정 유도를 위해 수출입식물방제업 등 신고절차를 명확히 규정하고 농약 안전정보시스템을 구축 운영함,8,"[식량자급률, 농어촌, 직접지불제, 먹거리]"
20,화물자동차 운수사업법 일부개정법률안(대안),PRC_F1J8B0C3U1C6R1Q7R1U4U5A8D3Y2J7,2012765,화물차주 과로 과속 과적 운행 방지 및 물류시장 환경변화 대응을 위해 화물자동차 안전운송원가 및 안전운임제도를 3년 한시적으로 도입하고 위수탁계약 보호 강화와 영세 사업자 지원을 위해 관련 규제를 완화함,11,"[교통사고, 운전면허, 자동차, 분담금]"
