monaCode,이름,정당,선거구,성별
04T3751T,남인순,더불어민주당,서울 송파구병,여
0827740Q,노웅래,더불어민주당,서울 마포구갑,남
GN240959,노회찬,정의당,경남 창원시성산구,남
J2O8643H,도종환,더불어민주당,충북 청주시흥덕구,남
FJK3396E,맹성규,더불어민주당,인천 남동구갑,남
TGL10010,문미옥,더불어민주당,비례대표,여
WV97281W,문진국,미래한국당,비례대표,남
IYD4143Y,문희상,무소속,경기 의정부시갑,남
Y3E8697I,민경욱,미래통합당,인천 연수구을,남
39P2522W,민병두,무소속,서울 동대문구을,남
O6D8329R,민홍철,더불어민주당,경남 김해시갑,남
JMD3241I,박경미,더불어민주당,비례대표,여
K3W33496,박광온,더불어민주당,경기 수원시정,남
24E9427D,박남춘,더불어민주당,인천 남동구갑,남
W4X85128,박대출,새누리당,경남 진주시갑,남
N4R2421C,박덕흠,새누리당,충북 보은군옥천군영동군괴산군,남
EUR98126,박맹우,미래한국당,울산 남구을,남
OTE19384,박명재,미래통합당,경북 포항시남구울릉군,남
7R156073,박범계,더불어민주당,대전 서구을,남
BLC8630L,박병석,더불어민주당,대전 서구갑,남
MC32279F,박선숙,민생당,비례대표,여
DAN6731C,박성중,새누리당,서울 서초구을,남
YLM92014,박순자,미래통합당,경기 안산시단원구을,여
S8431719,박영선,더불어민주당,서울 구로구을,여
D0C85236,박완수,새누리당,경남 창원시의창구,남
A3H7195R,박완주,더불어민주당,충남 천안시을,남
PEP6922S,박용진,더불어민주당,서울 강북구을,남
IQ54138I,박인숙,미래통합당,서울 송파구갑,여
QUO78839,박재호,더불어민주당,부산 남구을,남
4019850M,박정,더불어민주당,경기 파주시을,남
6AU2417B,박주민,더불어민주당,서울 은평구갑,남
XT18076X,박주선,민생당,광주 동구남구을,남
UDB4825U,박주현,민생당,비례대표,여
8EL9225R,박준영,민주평화당,전남 영암군무안군신안군,남
8BF5855P,박지원,국민의당,전남 목포시,남
BT62420K,박찬대,더불어민주당,인천 연수구갑,남
8T51904N,박찬우,자유한국당,충남 천안시갑,남
S824682L,박홍근,더불어민주당,서울 중랑구을,남
9CR4440H,배덕광,자유한국당,부산 해운대구을,남
O0G3169T,백승주,미래한국당,경북 구미시갑,남
8DK7238W,백재현,더불어민주당,경기 광명시갑,남
HSS7466Y,백혜련,더불어민주당,경기 수원시을,여
MO52543L,변재일,더불어민주당,충북 청주시청원구,남
FOK3459D,서삼석,더불어민주당,전남 영암군무안군신안군,남
TKJ4800F,서영교,더불어민주당,서울 중랑구갑,여
4Y54669I,서청원,우리공화당,경기 화성시갑,남
6N28669V,서형수,더불어민주당,경남 양산시을,남
OW53107J,설훈,더불어민주당,경기 부천시원미구을,남
7XY7109I,성일종,새누리당,충남 서산시태안군,남
ZDR63255,소병훈,더불어민주당,경기 광주시갑,남
A8O42480,손금주,더불어민주당,전남 나주시화순군,남
ZBX31520,손혜원,열린민주당,서울 마포구을,여
RD42006Y,송갑석,더불어민주당,광주 서구갑,남
7BV5480O,송기석,국민의당,광주 서구갑,남
SQ36001H,송기헌,더불어민주당,강원 원주시을,남
CNW5754J,송석준,새누리당,경기 이천시,남
6EN68926,송언석,자유한국당,경북 김천시,남
PAO22428,송영길,더불어민주당,인천 계양구을,남
3249208I,송옥주,더불어민주당,비례대표,여
1PZ8289D,송희경,미래한국당,비례대표,여
BN49469V,신경민,더불어민주당,서울 영등포구을,남
G1570880,신동근,더불어민주당,인천 서구을,남
HE838063,신보라,미래통합당,비례대표,여
71M8132V,신상진,미래통합당,경기 성남시중원구,남
MTK2954E,신용현,민생당,비례대표,여
WYC63862,신창현,더불어민주당,경기 의왕시과천시,남
9414335X,심기준,더불어민주당,비례대표,남
SU53086M,심상정,정의당,경기 고양시갑,여
VXQ28579,심재권,더불어민주당,서울 강동구을,남
FGX4881A,심재철,미래통합당,경기 안양시동안구을,남
TST4507I,안규백,더불어민주당,서울 동대문구갑,남
ZA54991S,안민석,더불어민주당,경기 오산시,남
A486635H,안상수,미래통합당,인천 중구동구강화군옹진군,남
YOG1280B,안철수,국민의당,서울 노원구병,남
XEF29171,안호영,더불어민주당,전북 완주군진안군무주군장수군,남
TIS61927,양승조,더불어민주당,충남 천안시병,남
8FB1535Y,어기구,더불어민주당,충남 당진시,남
B6F5266B,엄용수,자유한국당,경남 밀양시의령군함안군창녕군,남
QKY38290,여상규,미래한국당,경남 사천시남해군하동군,남
B751170H,여영국,정의당,경남 창원시성산구,남
SSF6805Q,염동열,미래한국당,강원 태백시횡성군영월군평창군정선군,남
M6K7940A,오세정,바른미래당,비례대표,남
H337332S,오신환,미래통합당,서울 관악구을,남
21N57758,오영훈,더불어민주당,제주 제주시을,남
SVH30067,오제세,더불어민주당,충북 청주시서원구,남
V0O5343U,우상호,더불어민주당,서울 서대문구갑,남
XBT9550Q,우원식,더불어민주당,서울 노원구을,남
TZD17894,원유철,미래한국당,경기 평택시갑,남
6DG91769,원혜영,더불어민주당,경기 부천시오정구,남
RQQ3807K,위성곤,더불어민주당,제주 서귀포시,남
CAL85655,유기준,미래통합당,부산 서구동구,남
GX38539O,유동수,더불어민주당,인천 계양구갑,남
I5V5327I,유민봉,미래통합당,비례대표,남
I7Z3068X,유성엽,민생당,전북 정읍시고창군,남
PWU27609,유승민,미래통합당,대구 동구을,남
9BE5694R,유승희,더불어민주당,서울 성북구갑,여
5CO4531H,유은혜,더불어민주당,경기 고양시병,여
MRK4871S,유의동,새누리당,경기 평택시을,남
SEK1881Q,유재중,미래통합당,부산 수영구,남
JMY9959W,윤관석,더불어민주당,인천 남동구을,남
LDY9563L,윤상직,미래통합당,부산 기장군,남
MSY7784L,윤상현,무소속,인천 남구을,남
8X46899U,윤소하,정의당,비례대표,남
9VR65006,윤영석,새누리당,경남 양산시갑,남
U9G5099O,윤영일,민생당,전남 해남군완도군진도군,남
5DR6334X,윤일규,더불어민주당,충남 천안시병,남
ZRF3039U,윤재옥,새누리당,대구 달서구을,남
3TP65086,윤종오,무소속,울산 북구,남
Q6G2914I,윤종필,미래한국당,비례대표,여
7W35098M,윤준호,더불어민주당,부산 해운대구을,남
8X15119P,윤한홍,새누리당,경남 창원시마산회원구,남
M0A1658U,윤호중,더불어민주당,경기 구리시,남
O7R5461J,윤후덕,더불어민주당,경기 파주시갑,남
I7R13867,이개호,더불어민주당,전남 담양군함평군영광군장성군,남
0135473I,이군현,자유한국당,경남 통영시고성군,남
9FL71418,이규희,더불어민주당,충남 천안시갑,남
OQO34632,이동섭,민생당,비례대표,남
OSV9142K,이만희,새누리당,경북 영천시청도군,남
6YT83269,이명수,새누리당,충남 아산시갑,남
JWW6081H,이상돈,민생당,비례대표,남
ZYH1940A,이상민,더불어민주당,대전 유성구을,남
WVU2479T,이상헌,더불어민주당,울산 북구,남
GMK1374L,이석현,더불어민주당,경기 안양시동안구갑,남
R7N74579,이수혁,더불어민주당,비례대표,남
S9U45255,이양수,새누리당,강원 속초시고성군양양군,남
JG77046J,이언주,더불어민주당,경기 광명시을,여
8WV8289I,이완영,자유한국당,경북 고령군성주군칠곡군,남
ABT2266H,이용득,더불어민주당,비례대표,남
X9Y63914,이용주,무소속,전남 여수시갑,남
DBA1057Z,이용호,국민의당,전북 남원시임실군순창군,남
0582116P,이우현,자유한국당,경기 용인시갑,남
16D7652C,이원욱,더불어민주당,경기 화성시을,남
DVD2735W,이은권,미래통합당,대전 중구,남
IQN7588X,이은재,무소속,서울 강남구병,여
3ZR4438W,이인영,더불어민주당,서울 구로구갑,남
2SE64657,이장우,미래통합당,대전 동구,남
UQ282145,이재정,더불어민주당,비례대표,여
IUE5875N,이정미,정의당,비례대표,여
7AN97172,이정현,무소속,전남 순천시,남
WDR7061Y,이종걸,더불어민주당,경기 안양시만안구,남
2XI97689,이종구,미래통합당,서울 강남구갑,남
11N7618M,이종명,미래한국당,비례대표,남
HSW1214Q,이종배,새누리당,충북 충주시,남
8IN46764,이주영,미래통합당,경남 창원시마산합포구,남
0ID22746,이진복,미래통합당,부산 동래구,남
BWD92364,이찬열,미래통합당,경기 수원시갑,남
WDS6044S,이채익,새누리당,울산 남구갑,남
TZP9391O,이철규,무소속,강원 동해시삼척시,남
NS06841K,이철우,자유한국당,경북 김천시,남
LSK9789D,이철희,더불어민주당,비례대표,남
V2R7430Z,이춘석,더불어민주당,전북 익산시갑,남
QTW6852F,이태규,국민의당,비례대표,남
K5F2023J,이학영,더불어민주당,경기 군포시을,남
AJV31724,이학재,미래통합당,인천 서구갑,남
9ZP9014Q,이해찬,더불어민주당,세종특별자치시,남
EVH1507C,이헌승,새누리당,부산 부산진구을,남
MBS2896E,이현재,무소속,경기 하남시,남
LCJ77278,이혜훈,미래통합당,서울 서초구갑,여
QXD2505Y,이후삼,더불어민주당,충북 제천시단양군,남
BTP28870,이훈,더불어민주당,서울 금천구,남
UM51067K,인재근,더불어민주당,서울 도봉구갑,여
EH27538E,임이자,새누리당,비례대표,여
BIR8594P,임재훈,민생당,비례대표,남
E6U4345C,임종성,더불어민주당,경기 광주시을,남
V8I36226,장병완,민생당,광주 동구남구갑,남
WNN9272X,장석춘,미래한국당,경북 구미시을,남
0AI7568W,장정숙,민생당,비례대표,여
CZB4125D,장제원,무소속,부산 사상구,남
9YO73104,전재수,더불어민주당,부산 북구강서구갑,남
BM63269Y,전해철,더불어민주당,경기 안산시상록구갑,남
25G2571T,전현희,더불어민주당,서울 강남구을,여
N9X9673B,전혜숙,더불어민주당,서울 광진구갑,여
QZF33498,전희경,미래통합당,비례대표,여
CYD5815E,정갑윤,미래통합당,울산 중구,남
ARP89147,정동영,국민의당,전북 전주시병,남
P303213F,정병국,미래통합당,경기 여주시양평군,남
V429892C,정성호,더불어민주당,경기 양주시,남
DCN7433W,정세균,더불어민주당,서울 종로구,남
0E97245Y,정양석,미래통합당,서울 강북구갑,남
ZGA4092Y,정용기,미래통합당,대전 대덕구,남
VHK3402G,정우택,새누리당,충북 청주시상당구,남
NZF1659U,정운천,새누리당,전북 전주시을,남
0GF6251P,정유섭,미래통합당,인천 부평구갑,남
DQL3007B,정은혜,더불어민주당,비례대표,여
DKB8522X,정인화,무소속,전남 광양시곡성군구례군,남
9S468336,정재호,더불어민주당,경기 고양시을,남
LJK4960Z,정점식,자유한국당,경남 통영시고성군,남
CJX51868,정종섭,미래통합당,대구 동구갑,남
NQR1206Q,정진석,새누리당,충남 공주시부여군청양군,남
MD083627,정춘숙,더불어민주당,비례대표,여
06571503,정태옥,무소속,대구 북구갑,남
8KB8281W,제윤경,더불어민주당,비례대표,여
5KV82250,조경태,새누리당,부산 사하구을,남
IWK63872,조배숙,국민의당,전북 익산시을,여
FYI20317,조승래,더불어민주당,대전 유성구갑,남
VNF2868Z,조원진,우리공화당,대구 달서구병,남
CDL93608,조응천,더불어민주당,경기 남양주시갑,남
IN328264,조정식,더불어민주당,경기 시흥시을,남
D397960C,조훈현,미래한국당,비례대표,남
AFQ26679,주광덕,미래통합당,경기 남양주시병,남
GCA42857,주승용,민생당,전남 여수시을,남
8SV6917G,주호영,무소속,대구 수성구을,남
5HG31863,지상욱,미래통합당,서울 중구성동구을,남
68P7228G,진선미,더불어민주당,서울 강동구갑,여
IDV9108J,진영,더불어민주당,서울 용산구,남
GDN7894V,채이배,민생당,비례대표,남
3SP89633,천정배,민생당,광주 서구을,남
FJ03481D,최경환,자유한국당,경북 경산시,남
KA04352K,최경환,민생당,광주 북구을,남
TO79481Z,최교일,미래통합당,경북 영주시문경시예천군,남
O8E1566L,최도자,민생당,비례대표,여
U013741R,최명길,국민의당,서울 송파구을,남
16I8621J,최연혜,미래통합당,비례대표,여
ZJI5740K,최운열,더불어민주당,비례대표,남
LPB30152,최인호,더불어민주당,부산 사하구갑,남
VE469451,최재성,더불어민주당,서울 송파구을,남
G152611B,추경호,새누리당,대구 달성군,남
URV1689Q,추미애,더불어민주당,서울 광진구을,여
XTB3104O,추혜선,정의당,비례대표,여
EX94352K,표창원,더불어민주당,경기 용인시정,남
I0S53762,하태경,새누리당,부산 해운대구갑,남
ZX71333R,한선교,미래한국당,경기 용인시병,남
XPP2564T,한정애,더불어민주당,서울 강서구병,여
1KD95875,함진규,미래통합당,경기 시흥시갑,남
3UZ61136,허윤정,더불어민주당,비례대표,여
T2K9554I,홍문종,친박신당,경기 의정부시을,남
GD131760,홍문표,새누리당,충남 홍성군예산군,남
KR14136C,홍영표,더불어민주당,인천 부평구을,남
GW55008L,홍의락,더불어민주당,대구 북구을,남
FRN1867O,홍익표,더불어민주당,서울 중구성동구갑,남
06L2365K,홍일표,미래통합당,인천 남구갑,남
R365233W,홍철호,미래통합당,경기 김포시을,남
C7Z8238W,황영철,자유한국당,강원 홍천군철원군화천군양구군인제군,남
JOY4394O,황주홍,민생당,전남 고흥군보성군장흥군강진군,남
0VU8517U,황희,더불어민주당,서울 양천구갑,남
