이름,정당,선거구,성별
김정재,새누리당,경북 포항시북구,여
김정호,더불어민주당,경남 김해시을,남
김정훈,미래한국당,부산 남구갑,남
김종대,정의당,비례대표,남
김종민,더불어민주당,충남 논산시계룡시금산군,남
김종석,미래한국당,비례대표,남
김종인,더불어민주당,비례대표,남
김종태,새누리당,경북 상주시군위군의성군청송군,남
김종회,무소속,전북 김제시부안군,남
김종훈,민중당,울산 동구,남
김중로,민생당,비례대표,남
김진태,미래통합당,강원 춘천시,남
김진표,더불어민주당,경기 수원시무,남
김철민,더불어민주당,경기 안산시상록구을,남
김태년,더불어민주당,경기 성남시수정구,남
김태흠,새누리당,충남 보령시서천군,남
김학용,새누리당,경기 안성시,남
김한정,더불어민주당,경기 남양주시을,남
김한표,미래통합당,경남 거제시,남
김해영,더불어민주당,부산 연제구,남
김현권,더불어민주당,비례대표,남
김현미,더불어민주당,경기 고양시정,여
김현아,미래통합당,비례대표,여
나경원,새누리당,서울 동작구을,여
남인순,더불어민주당,서울 송파구병,여
노웅래,더불어민주당,서울 마포구갑,남
노회찬,정의당,경남 창원시성산구,남
도종환,더불어민주당,충북 청주시흥덕구,남
맹성규,더불어민주당,인천 남동구갑,남
문미옥,더불어민주당,비례대표,여
문진국,미래한국당,비례대표,남
문희상,무소속,경기 의정부시갑,남
민경욱,미래통합당,인천 연수구을,남
민병두,무소속,서울 동대문구을,남
민홍철,더불어민주당,경남 김해시갑,남
박경미,더불어민주당,비례대표,여
박광온,더불어민주당,경기 수원시정,남
박남춘,더불어민주당,인천 남동구갑,남
박대출,새누리당,경남 진주시갑,남
박덕흠,새누리당,충북 보은군옥천군영동군괴산군,남
박맹우,미래한국당,울산 남구을,남
박명재,미래통합당,경북 포항시남구울릉군,남
박범계,더불어민주당,대전 서구을,남
박병석,더불어민주당,대전 서구갑,남
박선숙,민생당,비례대표,여
박성중,새누리당,서울 서초구을,남
박순자,미래통합당,경기 안산시단원구을,여
박영선,더불어민주당,서울 구로구을,여
박완수,새누리당,경남 창원시의창구,남
박완주,더불어민주당,충남 천안시을,남
박용진,더불어민주당,서울 강북구을,남
박인숙,미래통합당,서울 송파구갑,여
박재호,더불어민주당,부산 남구을,남
박정,더불어민주당,경기 파주시을,남
박주민,더불어민주당,서울 은평구갑,남
박주선,민생당,광주 동구남구을,남
박주현,민생당,비례대표,여
박준영,민주평화당,전남 영암군무안군신안군,남
박지원,국민의당,전남 목포시,남
박찬대,더불어민주당,인천 연수구갑,남
박찬우,자유한국당,충남 천안시갑,남
박홍근,더불어민주당,서울 중랑구을,남
배덕광,자유한국당,부산 해운대구을,남
백승주,미래한국당,경북 구미시갑,남
백재현,더불어민주당,경기 광명시갑,남
백혜련,더불어민주당,경기 수원시을,여
변재일,더불어민주당,충북 청주시청원구,남
서삼석,더불어민주당,전남 영암군무안군신안군,남
서영교,더불어민주당,서울 중랑구갑,여
서청원,우리공화당,경기 화성시갑,남
서형수,더불어민주당,경남 양산시을,남
설훈,더불어민주당,경기 부천시원미구을,남
성일종,새누리당,충남 서산시태안군,남
소병훈,더불어민주당,경기 광주시갑,남
손금주,더불어민주당,전남 나주시화순군,남
손혜원,열린민주당,서울 마포구을,여
송갑석,더불어민주당,광주 서구갑,남
송기석,국민의당,광주 서구갑,남
송기헌,더불어민주당,강원 원주시을,남
송석준,새누리당,경기 이천시,남
송언석,자유한국당,경북 김천시,남
송영길,더불어민주당,인천 계양구을,남
송옥주,더불어민주당,비례대표,여
송희경,미래한국당,비례대표,여
신경민,더불어민주당,서울 영등포구을,남
신동근,더불어민주당,인천 서구을,남
신보라,미래통합당,비례대표,여
신상진,미래통합당,경기 성남시중원구,남
신용현,민생당,비례대표,여
신창현,더불어민주당,경기 의왕시과천시,남
심기준,더불어민주당,비례대표,남
심상정,정의당,경기 고양시갑,여
심재권,더불어민주당,서울 강동구을,남
심재철,미래통합당,경기 안양시동안구을,남
안규백,더불어민주당,서울 동대문구갑,남
안민석,더불어민주당,경기 오산시,남
안상수,미래통합당,인천 중구동구강화군옹진군,남
안철수,국민의당,서울 노원구병,남
안호영,더불어민주당,전북 완주군진안군무주군장수군,남
양승조,더불어민주당,충남 천안시병,남
어기구,더불어민주당,충남 당진시,남
엄용수,자유한국당,경남 밀양시의령군함안군창녕군,남
여상규,미래한국당,경남 사천시남해군하동군,남
여영국,정의당,경남 창원시성산구,남
염동열,미래한국당,강원 태백시횡성군영월군평창군정선군,남
오세정,바른미래당,비례대표,남
오신환,미래통합당,서울 관악구을,남
오영훈,더불어민주당,제주 제주시을,남
오제세,더불어민주당,충북 청주시서원구,남
우상호,더불어민주당,서울 서대문구갑,남
우원식,더불어민주당,서울 노원구을,남
원유철,미래한국당,경기 평택시갑,남
원혜영,더불어민주당,경기 부천시오정구,남
위성곤,더불어민주당,제주 서귀포시,남
유기준,미래통합당,부산 서구동구,남
유동수,더불어민주당,인천 계양구갑,남
유민봉,미래통합당,비례대표,남
유성엽,민생당,전북 정읍시고창군,남
유승민,미래통합당,대구 동구을,남
유승희,더불어민주당,서울 성북구갑,여
유은혜,더불어민주당,경기 고양시병,여
유의동,새누리당,경기 평택시을,남
유재중,미래통합당,부산 수영구,남
윤관석,더불어민주당,인천 남동구을,남
윤상직,미래통합당,부산 기장군,남
윤상현,무소속,인천 남구을,남
윤소하,정의당,비례대표,남
윤영석,새누리당,경남 양산시갑,남
윤영일,민생당,전남 해남군완도군진도군,남
윤일규,더불어민주당,충남 천안시병,남
윤재옥,새누리당,대구 달서구을,남
윤종오,무소속,울산 북구,남
윤종필,미래한국당,비례대표,여
윤준호,더불어민주당,부산 해운대구을,남
윤한홍,새누리당,경남 창원시마산회원구,남
윤호중,더불어민주당,경기 구리시,남
윤후덕,더불어민주당,경기 파주시갑,남
이개호,더불어민주당,전남 담양군함평군영광군장성군,남
이군현,자유한국당,경남 통영시고성군,남
이규희,더불어민주당,충남 천안시갑,남
이동섭,민생당,비례대표,남
이만희,새누리당,경북 영천시청도군,남
이명수,새누리당,충남 아산시갑,남
이상돈,민생당,비례대표,남
이상민,더불어민주당,대전 유성구을,남
이상헌,더불어민주당,울산 북구,남
이석현,더불어민주당,경기 안양시동안구갑,남
이수혁,더불어민주당,비례대표,남
이양수,새누리당,강원 속초시고성군양양군,남
이언주,더불어민주당,경기 광명시을,여
이완영,자유한국당,경북 고령군성주군칠곡군,남
이용득,더불어민주당,비례대표,남
이용주,무소속,전남 여수시갑,남
이용호,국민의당,전북 남원시임실군순창군,남
이우현,자유한국당,경기 용인시갑,남
이원욱,더불어민주당,경기 화성시을,남
이은권,미래통합당,대전 중구,남
이은재,무소속,서울 강남구병,여
이인영,더불어민주당,서울 구로구갑,남
이장우,미래통합당,대전 동구,남
이재정,더불어민주당,비례대표,여
이정미,정의당,비례대표,여
이정현,무소속,전남 순천시,남
이종걸,더불어민주당,경기 안양시만안구,남
이종구,미래통합당,서울 강남구갑,남
이종명,미래한국당,비례대표,남
이종배,새누리당,충북 충주시,남
이주영,미래통합당,경남 창원시마산합포구,남
이진복,미래통합당,부산 동래구,남
이찬열,미래통합당,경기 수원시갑,남
이채익,새누리당,울산 남구갑,남
이철규,무소속,강원 동해시삼척시,남
이철우,자유한국당,경북 김천시,남
이철희,더불어민주당,비례대표,남
이춘석,더불어민주당,전북 익산시갑,남
이태규,국민의당,비례대표,남
이학영,더불어민주당,경기 군포시을,남
이학재,미래통합당,인천 서구갑,남
이해찬,더불어민주당,세종특별자치시,남
이헌승,새누리당,부산 부산진구을,남
이현재,무소속,경기 하남시,남
이혜훈,미래통합당,서울 서초구갑,여
이후삼,더불어민주당,충북 제천시단양군,남
이훈,더불어민주당,서울 금천구,남
인재근,더불어민주당,서울 도봉구갑,여
임이자,새누리당,비례대표,여
임재훈,민생당,비례대표,남
임종성,더불어민주당,경기 광주시을,남
장병완,민생당,광주 동구남구갑,남
장석춘,미래한국당,경북 구미시을,남
장정숙,민생당,비례대표,여
장제원,무소속,부산 사상구,남
전재수,더불어민주당,부산 북구강서구갑,남
전해철,더불어민주당,경기 안산시상록구갑,남
전현희,더불어민주당,서울 강남구을,여
전혜숙,더불어민주당,서울 광진구갑,여
전희경,미래통합당,비례대표,여
정갑윤,미래통합당,울산 중구,남
정동영,국민의당,전북 전주시병,남
정병국,미래통합당,경기 여주시양평군,남
정성호,더불어민주당,경기 양주시,남
정세균,더불어민주당,서울 종로구,남
정양석,미래통합당,서울 강북구갑,남
정용기,미래통합당,대전 대덕구,남
정우택,새누리당,충북 청주시상당구,남
정운천,새누리당,전북 전주시을,남
정유섭,미래통합당,인천 부평구갑,남
정은혜,더불어민주당,비례대표,여
정인화,무소속,전남 광양시곡성군구례군,남
정재호,더불어민주당,경기 고양시을,남
정점식,자유한국당,경남 통영시고성군,남
정종섭,미래통합당,대구 동구갑,남
정진석,새누리당,충남 공주시부여군청양군,남
정춘숙,더불어민주당,비례대표,여
정태옥,무소속,대구 북구갑,남
제윤경,더불어민주당,비례대표,여
조경태,새누리당,부산 사하구을,남
조배숙,국민의당,전북 익산시을,여
조승래,더불어민주당,대전 유성구갑,남
조원진,우리공화당,대구 달서구병,남
조응천,더불어민주당,경기 남양주시갑,남
조정식,더불어민주당,경기 시흥시을,남
조훈현,미래한국당,비례대표,남
주광덕,미래통합당,경기 남양주시병,남
주승용,민생당,전남 여수시을,남
주호영,무소속,대구 수성구을,남
지상욱,미래통합당,서울 중구성동구을,남
진선미,더불어민주당,서울 강동구갑,여
진영,더불어민주당,서울 용산구,남
채이배,민생당,비례대표,남
천정배,민생당,광주 서구을,남
최경환,자유한국당,경북 경산시,남
최경환,민생당,광주 북구을,남
최교일,미래통합당,경북 영주시문경시예천군,남
최도자,민생당,비례대표,여
최명길,국민의당,서울 송파구을,남
최연혜,미래통합당,비례대표,여
최운열,더불어민주당,비례대표,남
최인호,더불어민주당,부산 사하구갑,남
최재성,더불어민주당,서울 송파구을,남
추경호,새누리당,대구 달성군,남
추미애,더불어민주당,서울 광진구을,여
추혜선,정의당,비례대표,여
표창원,더불어민주당,경기 용인시정,남
하태경,새누리당,부산 해운대구갑,남
한선교,미래한국당,경기 용인시병,남
한정애,더불어민주당,서울 강서구병,여
함진규,미래통합당,경기 시흥시갑,남
허윤정,더불어민주당,비례대표,여
홍문종,친박신당,경기 의정부시을,남
홍문표,새누리당,충남 홍성군예산군,남
홍영표,더불어민주당,인천 부평구을,남
홍의락,더불어민주당,대구 북구을,남
홍익표,더불어민주당,서울 중구성동구갑,남
홍일표,미래통합당,인천 남구갑,남
홍철호,미래통합당,경기 김포시을,남
황영철,자유한국당,강원 홍천군철원군화천군양구군인제군,남
황주홍,민생당,전남 고흥군보성군장흥군강진군,남
황희,더불어민주당,서울 양천구갑,남
