이름,정당,선거구,성별
신영대,더불어민주당,전북 군산시김제시부안군갑,남
김대식,국민의힘,부산 사상구,남
정동영,더불어민주당,전북 전주시병,남
김승원,더불어민주당,경기 수원시갑,남
인요한,국민의힘,비례대표,남
김영배,더불어민주당,서울 성북구갑,남
한준호,더불어민주당,경기 고양시을,남
정혜경,진보당,비례대표,여
오세희,더불어민주당,비례대표,여
박찬대,더불어민주당,인천 연수구갑,남
권칠승,더불어민주당,경기 화성시병,남
백종헌,국민의힘,부산 금정구,남
이해식,더불어민주당,서울 강동구을,남
정성국,국민의힘,부산 부산진구갑,남
장종태,더불어민주당,대전 서구갑,남
양부남,더불어민주당,광주 서구을,남
송석준,국민의힘,경기 이천시,남
김예지,국민의힘,비례대표,여
임광현,더불어민주당,비례대표,남
김주영,더불어민주당,경기 김포시갑,남
문대림,더불어민주당,제주 제주시갑,남
이원택,더불어민주당,전북 군산시김제시부안군을,남
정동만,국민의힘,부산 기장군,남
김재원,조국혁신당,비례대표,여
이인선,국민의힘,대구 수성구을,여
김정재,국민의힘,경북 포항시북구,여
박해철,더불어민주당,경기 안산시병,남
안도걸,더불어민주당,광주 동구남구을,남
이연희,더불어민주당,충북 청주시흥덕구,남
권향엽,더불어민주당,전남 순천시광양시곡성군구례군을,여
임이자,국민의힘,경북 상주시문경시,여
박지혜,더불어민주당,경기 의정부시갑,여
김용태,국민의힘,경기 포천시가평군,남
이헌승,국민의힘,부산 부산진구을,남
임호선,더불어민주당,충북 증평군진천군음성군,남
곽상언,더불어민주당,서울 종로구,남
맹성규,더불어민주당,인천 남동구갑,남
서삼석,더불어민주당,전남 영암군무안군신안군,남
허영,더불어민주당,강원 춘천시철원군화천군양구군갑,남
박수영,국민의힘,부산 남구,남
조승래,더불어민주당,대전 유성구갑,남
추경호,국민의힘,대구 달성군,남
박준태,국민의힘,비례대표,남
권성동,국민의힘,강원 강릉시,남
용혜인,기본소득당,비례대표,여
김병주,더불어민주당,경기 남양주시을,남
복기왕,더불어민주당,충남 아산시갑,남
주진우,국민의힘,부산 해운대구갑,남
문정복,더불어민주당,경기 시흥시갑,여
윤건영,더불어민주당,서울 구로구을,남
박충권,국민의힘,비례대표,남
문금주,더불어민주당,전남 고흥군보성군장흥군강진군,남
강민국,국민의힘,경남 진주시을,남
유동수,더불어민주당,인천 계양구갑,남
한병도,더불어민주당,전북 익산시을,남
김기웅,국민의힘,대구 중구남구,남
이병진,더불어민주당,경기 평택시을,남
허성무,더불어민주당,경남 창원시성산구,남
김희정,국민의힘,부산 연제구,여
고동진,국민의힘,서울 강남구병,남
백혜련,더불어민주당,경기 수원시을,여
이종배,국민의힘,충북 충주시,남
박정현,더불어민주당,대전 대덕구,여
박상혁,더불어민주당,경기 김포시을,남
최기상,더불어민주당,서울 금천구,남
이개호,더불어민주당,전남 담양군함평군영광군장성군,남
정준호,더불어민주당,광주 북구갑,남
박성준,더불어민주당,서울 중구성동구을,남
조정식,더불어민주당,경기 시흥시을,남
이재명,더불어민주당,인천 계양구을,남
김남근,더불어민주당,서울 성북구을,남
조배숙,국민의힘,비례대표,여
박균택,더불어민주당,광주 광산구갑,남
모경종,더불어민주당,인천 서구병,남
윤준병,더불어민주당,전북 정읍시고창군,남
김형동,국민의힘,경북 안동시예천군,남
이언주,더불어민주당,경기 용인시정,여
김선교,국민의힘,경기 여주시양평군,남
서천호,국민의힘,경남 사천시남해군하동군,남
한기호,국민의힘,강원 춘천시철원군화천군양구군을,남
손명수,더불어민주당,경기 용인시을,남
유영하,국민의힘,대구 달서구갑,남
김윤덕,더불어민주당,전북 전주시갑,남
이학영,더불어민주당,경기 군포시,남
유용원,국민의힘,비례대표,남
장동혁,국민의힘,충남 보령시서천군,남
차규근,조국혁신당,비례대표,남
강대식,국민의힘,대구 동구군위군을,남
김은혜,국민의힘,경기 성남시분당구을,여
서범수,국민의힘,울산 울주군,남
김위상,국민의힘,비례대표,남
권영세,국민의힘,서울 용산구,남
김도읍,국민의힘,부산 강서구,남
정점식,국민의힘,경남 통영시고성군,남
정일영,더불어민주당,인천 연수구을,남
권영진,국민의힘,대구 달서구병,남
윤호중,더불어민주당,경기 구리시,남
김종민,무소속,세종특별자치시갑,남
박민규,더불어민주당,서울 관악구갑,남
신정훈,더불어민주당,전남 나주시화순군,남
백승아,더불어민주당,비례대표,여
조승환,국민의힘,부산 중구영도구,남
김동아,더불어민주당,서울 서대문구갑,남
김민석,더불어민주당,서울 영등포구을,남
강선우,더불어민주당,서울 강서구갑,여
윤종군,더불어민주당,경기 안성시,남
조은희,국민의힘,서울 서초구갑,여
서일준,국민의힘,경남 거제시,남
윤상현,국민의힘,인천 동구미추홀구을,남
유상범,국민의힘,강원 홍천군횡성군영월군평창군,남
이성윤,더불어민주당,전북 전주시을,남
김종양,국민의힘,경남 창원시의창구,남
박덕흠,국민의힘,충북 보은군옥천군영동군괴산군,남
정을호,더불어민주당,비례대표,남
김용만,더불어민주당,경기 하남시을,남
이종욱,국민의힘,경남 창원시진해구,남
신장식,조국혁신당,비례대표,남
강선영,국민의힘,비례대표,여
김한규,더불어민주당,제주 제주시을,남
박성훈,국민의힘,부산 북구을,남
김남희,더불어민주당,경기 광명시을,여
이정문,더불어민주당,충남 천안시병,남
민홍철,더불어민주당,경남 김해시갑,남
윤후덕,더불어민주당,경기 파주시갑,남
김용민,더불어민주당,경기 남양주시병,남
오기형,더불어민주당,서울 도봉구을,남
이만희,국민의힘,경북 영천시청도군,남
신동욱,국민의힘,서울 서초구을,남
김태호,국민의힘,경남 양산시을,남
서지영,국민의힘,부산 동래구,여
전종덕,진보당,비례대표,여
정희용,국민의힘,경북 고령군성주군칠곡군,남
안상훈,국민의힘,비례대표,남
강유정,더불어민주당,비례대표,여
한지아,국민의힘,비례대표,여
진종오,국민의힘,비례대표,남
서명옥,국민의힘,서울 강남구갑,여
배준영,국민의힘,인천 중구강화군옹진군,남
전진숙,더불어민주당,광주 북구을,여
이준석,개혁신당,경기 화성시을,남
임종득,국민의힘,경북 영주시영양군봉화군,남
차지호,더불어민주당,경기 오산시,남
곽규택,국민의힘,부산 서구동구,남
송재봉,더불어민주당,충북 청주시청원구,남
황명선,더불어민주당,충남 논산시계룡시금산군,남
이재관,더불어민주당,충남 천안시을,남
신성범,국민의힘,경남 산청군함양군거창군합천군,남
이달희,국민의힘,비례대표,여
장경태,더불어민주당,서울 동대문구을,남
위성곤,더불어민주당,제주 서귀포시,남
노종면,더불어민주당,인천 부평구갑,남
박홍근,더불어민주당,서울 중랑구을,남
이양수,국민의힘,강원 속초시인제군고성군양양군,남
나경원,국민의힘,서울 동작구을,여
송기헌,더불어민주당,강원 원주시을,남
강경숙,조국혁신당,비례대표,여
조국,조국혁신당,비례대표,남
주철현,더불어민주당,전남 여수시갑,남
한창민,사회민주당,비례대표,남
황정아,더불어민주당,대전 유성구을,여
위성락,더불어민주당,비례대표,남
김민전,국민의힘,비례대표,여
전용기,더불어민주당,경기 화성시정,남
서영교,더불어민주당,서울 중랑구갑,여
김건,국민의힘,비례대표,남
강훈식,더불어민주당,충남 아산시을,남
안규백,더불어민주당,서울 동대문구갑,남
민병덕,더불어민주당,경기 안양시동안구갑,남
이철규,국민의힘,강원 동해시태백시삼척시정선군,남
최은석,국민의힘,대구 동구군위군갑,남
정태호,더불어민주당,서울 관악구을,남
최보윤,국민의힘,비례대표,여
이재정,더불어민주당,경기 안양시동안구을,여
추미애,더불어민주당,경기 하남시갑,여
염태영,더불어민주당,경기 수원시무,남
이춘석,더불어민주당,전북 익산시갑,남
정성호,더불어민주당,경기 동두천시양주시연천군갑,남
박상웅,국민의힘,경남 밀양시의령군함안군창녕군,남
허종식,더불어민주당,인천 동구미추홀구갑,남
김상욱,국민의힘,울산 남구갑,남
민형배,더불어민주당,광주 광산구을,남
박선원,더불어민주당,인천 부평구을,남
이기헌,더불어민주당,경기 고양시병,남
박대출,국민의힘,경남 진주시갑,남
안태준,더불어민주당,경기 광주시을,남
이상식,더불어민주당,경기 용인시갑,남
고민정,더불어민주당,서울 광진구을,여
이주영,개혁신당,비례대표,여
최수진,국민의힘,비례대표,여
조정훈,국민의힘,서울 마포구갑,남
이소영,더불어민주당,경기 의왕시과천시,여
이성권,국민의힘,부산 사하구갑,남
김교흥,더불어민주당,인천 서구갑,남
박성민,국민의힘,울산 중구,남
임미애,더불어민주당,비례대표,여
김장겸,국민의힘,비례대표,남
김기현,국민의힘,울산 남구을,남
우원식,무소속,서울 노원구갑,남
안호영,더불어민주당,전북 완주군진안군무주군,남
정춘생,조국혁신당,비례대표,여
한정애,더불어민주당,서울 강서구병,여
서영석,더불어민주당,경기 부천시갑,남
김성환,더불어민주당,서울 노원구을,남
박수민,국민의힘,서울 강남구을,남
천하람,개혁신당,비례대표,남
김준혁,더불어민주당,경기 수원시정,남
안철수,국민의힘,경기 성남시분당구갑,남
최민희,더불어민주당,경기 남양주시갑,여
소병훈,더불어민주당,경기 광주시갑,남
조인철,더불어민주당,광주 서구갑,남
윤재옥,국민의힘,대구 달서구을,남
박홍배,더불어민주당,비례대표,남
김석기,국민의힘,경북 경주시,남
