cluster,cluster_keyword
241,"특수교육, 특수학교, 장애인, 학칙"
242,"공공보건의료, 책임의료기관, 공공보건의료기관, 공공보건의료 지원단"
243,"조정, 조정제도, 조정절차, 분쟁"
244,"정보통신융합등 기술·서비스, 임시허가, 규제특례, 신기술·서비스심의위원회"
245,"국립항공박물관, 항공문화, 항공산업, 국토교통부장관"
78,"급경사지, 안전관리, 재해예방, 자연재해대책법"
246,"법원조직법, 판사, 재판연구원, 정년"
247,"지방문화원, 설립인가, 인가, 처리기간"
248,"감정평가사, 감정평가법인, 감정평가, 자격"
250,"신라왕경, 핵심유적, 복원·정비, 문화재청장"
249,"자연공원, 공원관리청, 과태료, 공원보호협약"
251,"수입식품, 해외제조업소, 식품의약품안전처장, 현지실사"
198,"산업재해, 근로자, 안전, 보건"
257,"개인회생절차, 채무총액, 산정기준시점, 신청"
260,"건축물, 내진능력, 피난, 설치"
259,"사업재편계획심의위원회, 제척, 회의록, 공정성"
258,"시험·검사기관, 위해성평가, 지정, 관리"
126,"지방자치단체, 기금, 지방채, 재정"
107,"산지, 대체산림자원조성비, 국유림, 산림청장"
263,"교통, 국토교통부장관, 지방자치단체, 권한"
264,"과태료, 이의제기, 징수, 질서위반행위규제법"
265,"중증장애인, 장애인, 생산시설, 지원"
98,"폐기물처리시설, 설치, 지방자치단체, 주민편익시설"
284,"정신질환자, 정신보건법, 법률, 개정"
266,"교원, 임용, 양성평등, 과학기술정보통신부장관"
266,"교원, 임용, 양성평등, 과학기술정보통신부장관"
86,"상표, 출원, 등록, 전문기관"
42,"지방자치법, 교육위원회, 지역 개발, 법률"
278,"선행기술조사, 전문기관, 특허출원, 특허청장"
267,"제대혈, 제대혈은행, 부적격, 연구 목적"
268,"금융서비스, 금융규제, 금융위원회, 혁신금융서비스"
273,"고엽제후유의증, 국가보훈처장, 고용, 과태료"
204,"어린이통학버스, 운행기록장치, 안전운행, 도로교통법"
285,"송전선로, HVDC, 보상, 지원사업"
276,"국가유공자, 지원, 파독, 광부·간호사"
287,"항공기, 항공보안, 처벌 강화, 보안검색"
291,"재외공무원, 소환, 징계, 하위법령"
292,"악취, 악취관리지역, 악취배출시설, 배출허용기준"
293,"어선원, 재해보상보험, 요양급여, 심사"
295,"체육시설, 체육교습, 체육시설업, 신고"
294,"궤도사업, 허가, 신고, 절차"
296,"자금지원, 기금, 국민경제, 기업"
81,"위험물질, 운송, 안전관리, 차량"
58,"낚시어선, 낚시, 영업, 안전"
302,"선박, 해양오염, 연료유, 방제"
301,"건강보험료, 보험료, 지역가입자, 직장가입자"
308,"부마민주항쟁, 위원회, 진상규명, 보상"
303,"금융거래정보, 부실관련자, 예금보험공사, 금융회사"
309,"국제거래, 조세회피, 국외특수관계인, 정상가격"
307,"언론중재, 중재위원, 결격사유, 언론사"
310,"전기자전거, 자전거, 안전, 운행"
311,"연구실안전환경관리자, 연구주체의 장, 직무, 과태료"
312,"철도차량, 안전, 국토교통부장관, 철도운영자"
316,"스마트도시, 국가시범도시, 규제, 산업"
317,"중소기업, 지원사업, 중소벤처기업부, 육성"
318,"방송통신발전기금, 방송통신재난관리계획, 과학기술정보통신부장관, 방송통신위원회"
319,"자치분권, 자치분권위원회, 지방자치단체, 중앙행정기관"
320,"수산물, 위판장, 위생관리, 현대화"
253,"표시·광고, 식품, 식품의약품안전처장, 부당한 표시·광고"
136,"개별소비세, 세율, 납세, 세입예산안"
321,"공동주택, 외부회계감사, 관리사무소장, 입주자대표회의"
322,"어린이집, 국공립어린이집, 보육, 표준보육비용"
323,"학교급식, 경비 지원, 농수산물, 식재료"
324,"자살예방, 실태조사, 자살시도자, 정보제공"
191,"신재생에너지, 한국수자원공사, 수자원개발시설, 사업"
326,"여객자동차 운수사업, 운수종사자, 전액관리제, 사납금제"
325,"식품위생교육, 영업자, 행정처분, 동업자조합"
327,"일본식 한자어, 한글화, 법률 용어, 쉬운 우리말"
328,"직업능력개발훈련, 훈련비용, 부정수급, 사업주"
90,"법정형, 행정형벌, 위헌성, 처벌"
317,"중소기업, 지원사업, 중소벤처기업부, 육성"
333,"한국학교, 재외국민, 인성교육, 임원"
329,"선박투자회사, 선박운용회사, 사모펀드, 자본시장"
136,"개별소비세, 세율, 납세, 세입예산안"
334,"연구개발특구, 실시계획, 지정해제, 규제특례"
339,"화학물질, 유해성평가, 척추동물시험, 등록"
159,"장기요양기관, 수급자, 공단, 장기요양급여"
317,"중소기업, 지원사업, 중소벤처기업부, 육성"
340,"산지전용, 수목원, 벌금, 징역"
341,"환승센터, 교통, 계획, 빅데이터"
342,"유전자변형생물체, 생산공정이용시설, 안전관리, 이용승인"
274,"독립유공자, 유족, 지원, 생활"
343,"자활지원사업, 수급자, 보장기관, 자활기업"
186,"가축전염병, 방역, 검역, 지방자치단체"
14,"승자투표권, 벌칙, 경주사업, 유사행위"
344,"직장 내 성희롱, 사업주, 피해근로자, 과태료"
345,"건설업자, 하도급, 건설공사, 직접시공"
251,"수입식품, 해외제조업소, 식품의약품안전처장, 현지실사"
28,"하도급대금, 수급사업자, 원사업자, 분쟁조정"
350,"외무공무원, 파견, 퇴직, 국가공무원법"
351,"청소년, 청소년유해약물등, 청소년보호, 출입금지"
352,"전통문화, 진흥, 국가, 지방자치단체"
353,"산업단지, 개발계획, 기반시설, 용지"
207,"법률, 한자어, 일본식 용어, 한글화"
354,"청소년, 인터넷신문, 유해, 과징금"
355,"양식업, 어업, 지원, 육성"
360,"문화산업, 전문인력, 양성기관, 지정"
364,"폐지, 공유수면관리법, 공유수면 관리 및 매립에 관한 법률, 법률"
365,"주거급여, 주거지원, 주거안정, 부양의무자"
125,"지방세외수입금, 지방자치단체, 징수, 납부"
33,"장애인연금, 중증장애인, 장애등급, 장애정도"
85,"특허권, 침해, 손해배상, 생산능력"
148,"부동산투자회사, 주식, 공시, 주주총회"
366,"교원, 노동조합, 고등교육법, 교섭"
367,"농식품 벤처·창업, 국고보조, 법적 근거, 지원"
370,"간선급행버스체계, 운송사업, 면허, 여객자동차 운수사업법"
378,"농산업, 농업기술, 연구개발, 실용화"
373,"아동·청소년, 간음, 추행, 공소시효"
374,"세무사, 자격, 압류, 공매"
379,"해외긴급구호, 해외긴급구호기본대책, 활동결과, 평가결과"
357,"어장, 어업, 기본계획, 등록"
380,"협동조합, 연합회, 인가, 신고"
381,"농업경영체, 임업, 임업인, 임야"
388,"임용, 군무원, 신원조사, 연령"
382,"가맹본부, 가맹점사업자, 징벌적 손해배상, 서면실태조사"
390,"자격증, 검정기관, 농수산물, 지정"
389,"자동차, 운행정지, 등록원부, 대포차"
391,"비지정기부금품, 국제보건의료, 감염성 질환, 글로벌 펀드"
11,"벌금형, 징역형, 형사처벌, 범죄억지력"
393,"민간자격, 민간자격관리자, 변경등록, 결격사유"
392,"선박, 항만, 해양수산부장관, 선박관리산업"
178,"소상공인, 지원, 피해, 상거래"
282,"자살예방, 자살시도자, 자살자 가족, 심리적 지원"
394,"치료명령, 스토킹행위, 피해자, 잠정조치"
395,"고용, 재정지원, 일자리, 고용노동부장관"
92,"벌금형, 징역형, 형사처벌, 범죄억지력"
329,"선박투자회사, 선박운용회사, 사모펀드, 자본시장"
399,"성매매 예방교육, 여성가족부장관, 시·도지사, 전문기관"
398,"시ㆍ도, 국가, 이양, 사무"
396,"자동차사고, 분담금, 보험회사, 개인정보"
397,"농지, 농업인, 노후생활안정자금, 자조금단체"
400,"사할린동포, 영주귀국, 정착 지원, 피해구제"
401,"골재채취업, 과태료, 신고, 허가"
402,"임차인, 임대인, 계약갱신요구권, 권리금"
403,"수생태계, 수질, 조사, 건강성"
404,"성년후견, 한정후견, 금치산, 한정치산"
405,"대중문화예술인, 대중문화예술기획업자, 성교육, 범죄예방"
406,"포장재, 재활용, 자원순환, 1회용 컵"
407,"수의사, 동물원, 수족관, 처방전"
208,"한글화, 법률용어, 한자어, 일본식 용어"
197,"파견근로자, 공중위생, 양벌규정, 명확성의 원칙"
409,"문화재수리, 문화재수리기술자, 신고, 업자"
60,"해양심층수, 해양심층수기본계획, 연도별계획, 시·도지사"
412,"간척지, 간척지활용사업, 간척지활용사업구역, 수산동식물"
90,"법정형, 행정형벌, 위헌성, 처벌"
38,"응급의료, 응급환자, 구급차, 자동심장충격기"
418,"택시운송사업, 차고지, 공영차고지, 공동차고지"
413,"해안권, 내륙권, 발전, 개발사업"
419,"국회미래연구원, 국가, 연구, 발전"
263,"교통, 국토교통부장관, 지방자치단체, 권한"
131,"회계법인, 공인회계사, 감사, 분할"
420,"농지, 농업진흥지역, 농지보전부담금, 타용도 일시사용허가"
424,"한국문학번역원, 문학, 출판, 간행물"
423,"농업기계, 임대사업, 기본계획, 시행계획"
426,"안전성검사기관, 수산물, 유해물질, 지정"
425,"수의사, 동물진료업, 면허, 과징금"
427,"개인정보, 가명정보, 개인정보 보호위원회, 정보통신망 이용촉진 및 정보보호 등에 관한 법률"
225,"배출가스, 자동차, 부품, 환경부장관"
428,"항공보안, 승객, 위해물품, 생체정보"
177,"소상공인, 소상공인시장진흥공단, 지원, 사업"
429,"보험회사, 보험계약자, 손해사정, 과태료"
357,"어장, 어업, 기본계획, 등록"
433,"치료감호심의위원회, 법무부, 고위공무원단, 일반직공무원"
434,"해수욕장, 관리·운영, 조례, 개장기간"
48,"운송사업자, 운수종사자, 여객자동차, 영상기록장치"
292,"악취, 악취관리지역, 악취배출시설, 배출허용기준"
436,"법관, 고등법원 부장판사, 윤리감사관, 정치적 중립성"
435,"노숙인, 노숙인시설, 유류금품, 민법"
0,"임원, 공제금, 중소기업, 규정"
437,"신고, 신고수리, 처리기간, 통지"
438,"크루즈산업, 기본계획, 시행계획, 육성"
439,"변호사시험, 법학전문대학원, 석사학위, 응시기간"
118,"민간임대주택, 촉진지구, 공공지원민간임대주택, 임대사업자"
446,"교원소청심사위원회, 교원, 소청심사, 권익보호"
447,"농외소득, 농촌융복합산업, 농림축산식품부장관, 지원"
441,"철도시설, 철도건설사업, 국토교통부장관, 철도국유재산"
440,"토양오염, 오염토양, 정화, 이력정보"
119,"소규모주택정비사업, 주민합의체, 사업시행계획, 인허가"
392,"선박, 항만, 해양수산부장관, 선박관리산업"
448,"소방공무원, 소방청, 국가공무원, 시·도지사"
449,"국제문화교류, 진흥, 문화체육관광부장관, 전담기관"
450,"국민연금, 연금보험료, 수급권, 반환일시금"
454,"어업재해, 수산양식물, 입식비, 긴급 방류"
455,"납세증명서, 지방세, 체납관리, 해외이주"
456,"대변인, 공보수석비서관, 국회의장, 국회"
2,"여성기업, 소상공인, 지원, 공공기관"
335,"정부출연연구기관, 연구회, 지역조직, 융합연구"
118,"민간임대주택, 촉진지구, 공공지원민간임대주택, 임대사업자"
458,"산지, 산지전용허가, 태양광발전시설, 중앙산지관리위원회"
416,"사업시행자, 지역개발, 개발계획, 지정"
457,"한국언론진흥재단, 문화체육관광부장관, 사업계획, 결산보고서"
90,"법정형, 행정형벌, 위헌성, 처벌"
459,"방송통신심의위원회, 방송통신발전기금, 사업비, 환수"
297,"인터넷전문은행, 은행, 대주주, 신용공여"
460,"산후조리원, 산모, 신생아, 난임"
465,"제조물, 결함, 손해배상, 피해자"
461,"전통시장, 전기안전점검, 화재, 손해배상"
466,"기상산업, 기상사업자, 한국기상산업진흥원, 실태조사"
467,"국회, 법률, 용어, 문장"
468,"도시공원, 공원, 조성, 실효기간"
469,"민간인통제선이북지역, 산지관리, 보전산지, 산지관리종합계획"
470,"부패행위신고자, 인적사항, 권익위, 벌칙"
443,"철도산업, 해외진출, 철도협회, 국제협력"
471,"사회기반시설, 민간투자, 경찰, 공공청사"
472,"도핑 검사, 경륜·경정, 선수, 한국도핑방지위원회"
473,"민방위, 교육훈련, 통지서, 민방위대"
474,"선박, 안전, 해양수산부장관, 관제"
475,"민법, 제한능력자, 개정, 무능력자"
369,"여객자동차운송사업, 수요응답형, 노선버스, 운송사업"
478,"택시운송사업, 택시운수종사자, 운송비용, 소정근로시간"
479,"선박, 행정처분, 선박검사, 안전"
476,"건강가정, 가족, 지원, 계획"
477,"검체, 의료기관, 서면동의, 연구"
480,"국가연구개발사업, 참여제한, 중소기업, 연구개발"
481,"공익신고자, 보호조치, 공익신고, 구조금"
363,"법률, 개정, 정신질환자, 나이"
482,"여객자동차운수사업, 인허가, 신청, 운수종사자"
274,"독립유공자, 유족, 지원, 생활"
11,"벌금형, 징역형, 형사처벌, 범죄억지력"
435,"노숙인, 노숙인시설, 유류금품, 민법"
483,"치매, 치매안심센터, 공립요양병원, 치매환자"
484,"승강기, 승강기부품, 안전관리, 유지관리"
485,"교육통계조사, 교육, 시책, 통계"
486,"자동차손해배상, 정비요금, 자율주행자동차, 보험회사"
491,"대부업자, 과징금, 과태료, 소비자"
487,"수상레저기구, 동력수상레저기구, 안전, 등록"
492,"전자장치, 부착명령, 보호관찰, 재범"
78,"급경사지, 안전관리, 재해예방, 자연재해대책법"
269,"과징금, 금융지주회사, 과태료, 부과한도"
493,"성폭력, 현장 출동, 피해자, 경찰"
494,"교육위원회, 지방교육자치, 교육의원, 지방의회"
495,"행정중심복합도시, 세종시, 개발계획, 특별법"
496,"기금, 보증, 법률, 개정"
92,"벌금형, 징역형, 형사처벌, 범죄억지력"
500,"농지관리기금, 한국농어촌공사, 과세정보, 농어촌"
503,"식품·의약품, 안전기술, 연구개발사업, 참여제한"
207,"법률, 한자어, 일본식 용어, 한글화"
502,"중소기업, 기술혁신, 연구인력, 지원"
501,"동물, 학대, 영업, 벌칙"
327,"일본식 한자어, 한글화, 법률 용어, 쉬운 우리말"
504,"건축물에너지평가사, 제로에너지건축물, 인증, 결격사유"
510,"구강건강실태조사, 장애인, 실태조사, 구강보건"
511,"아동학대, 취업제한, 아동관련기관, 피해아동"
230,"관광, 관광사업, 관광특구, 지정"
509,"결격사유, 면허, 등록, 항공사업"
515,"지방세, 체납, 공매, 납부"
273,"고엽제후유의증, 국가보훈처장, 고용, 과태료"
519,"재난관리자원, 재난관리, 관리기관, 동원"
516,"지속가능 교통물류체계, 교통물류, 지방자치단체, 공영차고지"
518,"법 문장, 한글, 용어, 어문 규범"
517,"농약, 등록취소, 회수·폐기, 농촌진흥청장"
520,"연대보증, 채무, 감경, 면제"
521,"지방공사, 지방공단, 수사기관, 임직원"
11,"벌금형, 징역형, 형사처벌, 범죄억지력"
268,"금융서비스, 금융규제, 금융위원회, 혁신금융서비스"
523,"재난적의료비, 지원, 국민건강보험공단, 의료비"
522,"농어촌주민, 보건복지, 기본계획, 농어업인"
460,"산후조리원, 산모, 신생아, 난임"
524,"농산물우수관리, 우수관리인증기관, 농림축산식품부장관, 우수관리시설"
525,"접근매체, 전자금융거래, 보이스피싱, 본인확인"
528,"납북피해자, 피해위로금, 납북피해자보상및지원심의위원회, 통일부장관"
44,"시·도지사, 기초지방자치단체, 특별자치시, 예방교육"
93,"벌금형, 징역형, 벌금액, 형사처벌"
526,"벤처기업, 육성, 유효기간, 연장"
135,"개별소비세, 연료, LPG, 에너지"
130,"국제개발협력, 한국국제협력단, 주관기관, 시행기관"
529,"성충동 약물치료, 장애인, 아동ㆍ청소년, 간음ㆍ추행죄"
530,"후계농어업인, 농어업, 지원, 청년"
448,"소방공무원, 소방청, 국가공무원, 시·도지사"
531,"재산등록, 공직자, 등록의무자, 가상자산"
413,"해안권, 내륙권, 발전, 개발사업"
532,"품질인증, 수산물, 제도, 폐지"
536,"선거, 임원, 조합, 벌칙"
534,"살생물제, 생활화학제품, 안전관리, 승인"
533,"교육시설, 안전, 유지관리, 안전사고"
535,"예술인, 복지, 서면계약, 예술인복지재단"
537,"재외동포, 과태료, 보건복지부장관, 개발도상국"
538,"특별자치시장, 벌금, 법률, 징역"
540,"농업협동조합, 수의계약, 중소기업, 농산물"
464,"과징금, 과태료, 시정조치, 위반행위"
539,"소방공무원, 소방활동, 대한소방공제회, 면직"
492,"전자장치, 부착명령, 보호관찰, 재범"
498,"법률안, 안, 제, 소위원회"
375,"납세의무자, 교육세, 주류, 면허"
541,"유선, 도선, 승객, 신분확인"
41,"지방선거, 의원, 정수, 시의회"
210,"법률용어, 일본식, 우리말, 법 문장"
542,"개발제한구역, 허가, 신고, 훼손지정비사업"
543,"해양안전, 항로표지, 전문인력, 해양교통"
231,"관광진흥, 관광시설, 국민관광, 시책"
544,"관세사, 징계, 결격사유, 직무"
120,"주택조합, 사업계획승인, 공동주택, 조합원"
545,"건설안전, 건설사업관리, 국토안전관리원, 안전관리계획"
357,"어장, 어업, 기본계획, 등록"
546,"첨단의료복합단지, 의료연구개발, 첨단의료산업진흥재단, 의료연구개발기관"
547,"벤처투자, 벤처기업, 개인투자조합, 중소기업창업투자회사"
548,"자살예방, 홍보영상, 방송사업자, 공익광고"
549,"국군간호사관학교, 간호학사학위, 교과과정, 설치법"
448,"소방공무원, 소방청, 국가공무원, 시·도지사"
550,"어촌, 어항, 허가, 공단"
209,"한글화, 법률용어, 일본식 용어, 한자어"
552,"검사대상기기, 안전관리, 에너지, 수입"
551,"농업재해, 어업재해, 피해, 지원"
9,"축사, 부동산등기, 연면적, 개방형 축사"
553,"현행법, 개정, 중소기업, 지원"
554,"박람회 시설, 사후활용, 사업 시행자, 해양박람회특구"
108,"산림복지, 산림복지단지, 산림복지서비스, 자연휴양림"
555,"선박, 안전, 해사안전, 과태료"
109,"산림조합, 산림기본계획, 재생에너지, 조합원"
228,"측정대행업자, 대기오염물질, 측정결과, 미세먼지"
556,"매장문화재, 발굴, 문화재청장, 발굴조사"
557,"군인, 주거지원, 공공택지, 군숙소"
203,"자전거, 교통안전교육, 안전거리, 통행원칙"
558,"과태료, 행정질서벌, 형평성, 처벌"
559,"뇌물, 벌금, 공여, 이익"
560,"인증, 제품, 서비스, 이전심사"
8,"가축, 축산법, 인공수정사, 과태료"
561,"재난, 안전관리, 안전취약계층, 복구비"
462,"소비자, 분쟁조정, 사업자, 소비자분쟁조정위원회"
562,"해양심층수, 해양심층수처리수, 신고, 허가"
563,"자연재해, 급경사지, 종합계획, 붕괴"
564,"행정심판, 재결, 행정청, 처분"
565,"공연장, 안전, 피난안내, 과태료"
566,"벤처기업, 벤처기업확인, 창업, 연구원"
567,"등기, 등기신청, 등기정보, 과태료"
42,"지방자치법, 교육위원회, 지역 개발, 법률"
108,"산림복지, 산림복지단지, 산림복지서비스, 자연휴양림"
568,"기부, 기증, 박물관, 미술관"
569,"출퇴근재해, 업무상 재해, 산업재해보상보험법, 헌법재판소"
572,"성별영향분석평가, 정책, 성평등, 여성가족부장관"
109,"산림조합, 산림기본계획, 재생에너지, 조합원"
573,"중재산업, 중재, 분쟁해결시설, 법무부장관"
574,"벌금형, 법정형, 징역형, 처벌"
575,"고등학교 무상교육, 지방교육재정교부금, 재원 확보, 교육비특별회계"
286,"항공기, 안전, 국토교통부장관, 초경량비행장치"
576,"귀농어업인, 지원금, 농어촌, 사후관리"
577,"총재, 이사장, 명칭, 변경"
578,"공중위생영업, 과징금, 면허, 행정제재"
579,"무형문화재, 전승, 지원, 이수자"
580,"벌금형, 징역, 형사처벌, 범죄억지력"
224,"누리과정, 유아교육, 특별회계, 지방교육재정교부금"
586,"군 사망사고, 진상규명, 군 사망사고 진상규명위원회, 조사"
581,"처분, 행정, 법령, 국민"
587,"전통무예, 국제무예센터, 보존, 진흥"
325,"식품위생교육, 영업자, 행정처분, 동업자조합"
588,"농업협동조합, 지역농협, 농협중앙회, 조합원"
589,"소하천, 허가, 신고, 행정"
590,"자격증, 벌칙, 행정처분, 대여"
223,"재정비촉진지구, 재정비촉진사업, 지정, 해제"
463,"과징금, 과태료, 위반행위, 현행법"
502,"중소기업, 기술혁신, 연구인력, 지원"
451,"사립학교교직원연금공단, 급여, 퇴직, 교직원"
106,"산림보호구역, 산불, 나무의사, 산림청장"
273,"고엽제후유의증, 국가보훈처장, 고용, 과태료"
108,"산림복지, 산림복지단지, 산림복지서비스, 자연휴양림"
429,"보험회사, 보험계약자, 손해사정, 과태료"
166,"피성년후견인, 피한정후견인, 금치산자, 한정치산자"
591,"보건복지부장관, 수련병원, 전공의, 지도전문의"
594,"한국해양진흥공사, 사채, 원리금, 재무건전성"
