age,title,bill_id,bill_number,content,card_news_content
20,다문화가족지원법 일부개정법률안(대안),PRC_N2R0U0Y2B2P4E0K9E5K2Q2C1A9I7B1,2024919,기본계획 국회 보고 및 홍보영상 송출 사업자 확대와 다문화가족지원센터 기능을 강화함,"다문화가족 지원 더욱 강화!  국가정책, 더 가까이!"
20,국민영양관리법 일부개정법률안(대안),PRC_F1K9M0L3L2J6L2J0E1Z4E4W3Z2F4B0,2019609,국민 영양 및 식생활 조사 관련 규정을 개선하고 영양사 국가시험 부정행위 제재 규정을 신설함,"건강한 식생활, 이제 더 안전하게! 영양 관리 강화!"
20,중소기업진흥에 관한 법률 일부개정법률안,PRC_O1K8O1F2W3R1G1H6J1F3B3C5Y7M5E3,2017956,중소기업창업 및 진흥기금의 재무건전성 유지 의무를 법률에 신설함,"중소기업, 든든한 지원 확대!  성장 힘 더해드려요!"
20,공직선거법 일부개정법률안,PRC_B2T0Q0H3L0J6A2P1F1F7O1M1C0L4R2,2024796,제21대 국회의원선거를 위한 선거구 획정 및 관련 특례를 마련함,"공정한 선거, 새롭게 시작합니다!"
20,국가통합교통체계효율화법 일부개정법률안,PRC_B1C9L0O3A2X6C1I7E1Q4X2I2I2T4Y1,2019395,국가교통위원회 민간위원에 대한 형법상 수뢰죄 적용 시 공무원으로 의제하는 조항을 신설함,"국가교통 발전, 이젠 더 공정하게!  민간위원 부정부패 OUT!"
20,대규모유통업에서의 거래 공정화에 관한 법률 일부개정법률안,PRC_D1L6Q1G1O2W4B1C4G0D4U3G3P5Z6W2,2003976,공정거래위원회의 조사 협조 의무를 신설함,"공정한 거래, 이제 더 쉬워요!  협조 의무 신설!"
20,장애인복지법 일부개정법률안(대안),PRC_Q1N7L0K7W1R7X1C2I0M0B0X6U5F5M7,2008876,장애인 관광 활성화 지원 근거를 마련하고 관련 법률 조문을 정비함,"장애인 관광, 더 편하게!  활성화 지원 확대!"
20,응급의료에 관한 법률 일부개정법률안(대안),PRC_Z1M8Z0O9U0Y6P1O3J1G8M0C0G8Q6O2,2016563,응급구조사 결격사유 규정과 과징금 상한액을 개선하고 응급의료 전용헬기 안내표지 설치 근거를 마련하며 자동심장충격기 의무설치 대상 선박 범위를 조정함,골든타임 확보! 응급의료 더욱 안전하게!
20,국가공무원법 일부개정법률안(대안),PRC_R1X9E0P6A2C6E1I7Q2O6U0Z2U0I5W8,2023990,공정하고 투명한 인사행정을 위해 신고제도를 신설하고 징계절차 개선 등 인사 관련 제도를 개선함,투명한 인사 시스템으로 공정성 UP!
20,세종특별자치시 설치 등에 관한 특별법 일부개정법률안,PRC_E1W8K0Z2Y2M8I1R4R5T6T1X1G9Q7W4,2012300,세종특별자치시의회 의원 정수를 조정함,세종시의회 의원 정수 조정으로 시민 대표성 UP!
20,유류오염손해배상 보장법 일부개정법률안,ARC_D1Z8V0J7F3R1M1J6K2I1P0A3S8B7U9,2014694,신고 수리 여부를 3일 이내 통지하고 미통지시 수리한 것으로 간주하는 제도를 신설함,"민원 신고, 3일 안에 답변 드려요!"
20,자동차관리법 일부개정법률안(대안),PRC_Z1J7W0T2J2K2A1P9C1Z4A1T5B5I9T9,2009686,자동차 소비자 권익 보호 및 자율주행차 안전 관리 제도를 강화함,"자동차 안전, 확실하게!  소비자 권익 UP!"
20,여객자동차 운수사업법 일부개정법률안,PRC_R1Z6O1D0D2Y1S1U7M3O0U4H4W0B1P9,2002815,대중교통수단에 영상기록장치 설치를 의무화함,"안전한 대중교통, CCTV 설치로 확보!"
20,발명진흥법 일부개정법률안(대안),PRC_R1E7Y0J2S2A1N1G6U1A9U2W0T0V7X4,2005905,산업재산권 무역 적자 해소를 위한 정책 대안 마련 및 조정기간 연장을 가능하게 함,국내 기술 경쟁력 UP!  산업재산권 보호 강화!
20,경제자유구역의 지정 및 운영에 관한 특별법 일부개정법률안(대안),PRC_C1I8K0S2Q2F0X1H0G0S0C2P4V4Z5A7,2012749,경제자유구역 외국인투자기업 지원요건을 강화하고 국내복귀기업 지원을 확대하며 외국인 전용 임대주택 관련 규정을 개선함,"외국인 투자, 국내 복귀 더욱 편리하게!  지원 확대!"
20,산업현장 일학습병행 지원에 관한 법률안(대안),PRC_C1R9C0O3A2U2U1D2E4P3P3T8L8E9A9,2021751,일학습병행 제도를 도입하여 청년 구직자의 직무능력 강화 기반을 마련함,"청년 일자리, 일학습병행으로 UP!  내일이 기대돼!"
20,생물다양성 보전 및 이용에 관한 법률 일부개정법률안,PRC_K1Q9X0W4C1D9I1A7K2D7F4K8D8K0W7,2019931,생태계서비스의 개념을 정의하고 가치 평가 및 정책 연계를 위한 법적 근거를 마련함,"자연이 주는 선물, 제대로 평가받아요!"
20,국민여가활성화기본법 일부개정법률안,PRC_Y1N6Z0R8Z1M8T0H9H4U0R5F0J8A5M4,2001635,직장인 휴가 사용 실태 조사 및 휴가 사용 촉진 대책 수립을 의무화함,"직장인 휴가, 이젠 마음껏 즐겨요!"
20,수산자원관리법 일부개정법률안,PRC_N1W8J1E2F2R7T1B8T0H2G3F9I5W8L1,2017826,수산자원 보호를 위해 포획 채취 허가 취소 규정을 신설함,"바다를 지켜요! 불법 포획, 이제 더 강력하게 단속!"
20,비료관리법 일부개정법률안(대안),PRC_K1O9Q0D4E0N5Y1K4T1E3C5L4L9P5T9,2024008,비료 관리 감독 체계를 강화하고 불량 비료 유통을 방지하는 법안을 마련함,안전한 먹거리 지킴이! 깨끗한 비료로 농업 혁신!
20,국회의원수당 등에 관한 법률 일부개정법률안(대안),PRC_G1E7J0D2O2K2M1S0U0E0G2O7C6G1Q4,2005889,국회의원 친인척 보좌직원 채용 제한 및 겸직 국회의원 활동비 지급 중단을 위한 규정을 신설함,"국회의원 친인척 채용 제한! 공정한 국회, 함께 만들어요!"
20,사법경찰관리의 직무를 수행할 자와 그 직무범위에 관한 법률 일부개정법률안,PRC_I1Z8B0J2U2D0Y1W5P2D7D4I0R6D8S1,2012040,특허청 공무원의 사법경찰관리 직무수행 권한을 확대함,"특허침해 척결, 더욱 강력해졌습니다!"
20,정부보관금에 관한 법률 일부개정법률안(대안),PRC_G1W9S1G1T2K8G1G9Q4X6B5V0C8H6Y8,2024761,정부보관금 환급청구권 소멸시효를 10년으로 연장하고 소멸시효 완성 전 통지를 의무화함,잠자는 돈 찾으세요! 정부보관금 환급 기회 확대!
20,국가유공자 등 예우 및 지원에 관한 법률 일부개정법률안(대안),PRC_E1N7K1O1Y3O0Q2E0U0C5S0L8M0A1A0,2010947,419혁명공로자 보상금을 상향하고 인신매매 관련 지원대상에서 일부를 제외함,"419혁명 공로자, 더욱 풍족한 보상으로 예우받으세요!"
20,대통령직 인수에 관한 법률 일부개정법률안,PRC_W1E6X0V9V0P6I1G0T2Y2T5J1P8Y1G0,2002156,대통령직인수위원회의 국무총리 및 국무위원 후보자 검증 업무를 담당하고 정부 인사자료 활용 근거를 신설함,투명한 인사 시스템으로 공정한 정부!
20,실내공기질 관리법 일부개정법률안,PRC_H1S7C0K8A1D1Y1P7S4S5T5V8G8Z6V2,2008507,실내 건축자재 사전적합확인제도의 시행 기반을 강화함,"안전한 실내공간, 확실하게!  자재 확인제도 강화!"
20,식품산업진흥법 일부개정법률안,ARC_Y1U6L0U6E2I7I1Y3U5J5B1L8M2S4P5,2000495,식품수출 지원기관 지정 및 운영 근거를 마련함,"식품 수출, 이젠 더 쉽게!  든든한 지원 시작!"
20,도선법 일부개정법률안(대안),PRC_F1S9T1C1A2D0Y1R7D0R7D2F1J9Q0L7,2024024,도선사 면허증 불법 대여 알선 행위 방지 및 관련 규정을 개선함,"안전한 항해, 믿음직한 선장! 불법 면허 알선, 이제 그만!"
20,저수지·댐의 안전관리 및 재해예방에 관한 법률 일부개정법률안,ARC_E1L8U1P2R2J8E1Q5S1U0N3E9W6H9X1,2017860,저수지댐 안전관리 및 재해예방 체계를 개선함,"안전한 저수지, 든든한 댐! 재해 걱정 끝!"
20,국민영양관리법 일부개정법률안(대안),PRC_U1F8J0R9Q0A6W1G3G0B8S1O3J3A7L9,2016552,영양소 섭취기준 활용 분야 예시 및 외국 영양사 자격 인정 기준 고시 근거를 마련함,"건강한 식생활, 이제 더 쉬워져요!"
20,특허법 일부개정법률안,PRC_W1R8R1T2E2P8P1D7B5D9L1J9E5A4C1,2017894,특허침해자 이익 전부 반환 청구권을 신설함,특허침해? 이제는 피해 전액 돌려받으세요!
20,행정규제기본법 일부개정법률안(대안),PRC_V1C8X1O2H2D7S1I0I3K8A5C8J1S6Z2,2019406,신산업 분야 규제를 우선 허용하고 사후 규제하는 네거티브 규제 방식으로 전환함,"규제 걱정은 그만! 신산업, 맘껏 도전하세요!"
20,비파괴검사기술의 진흥 및 관리에 관한 법률 일부개정법률안,PRC_Q1B8Z1O2F2V8F1B8P0F8N4E6Q9H4H3,2017901,벌금형의 금액을 징역 1년당 1천만원으로 개정함,"벌금 1천만 원으로! 형벌, 더욱 공정하게!"
20,항만법 일부개정법률안(대안),PRC_H1A8S1D1U2C8E1A7Y5S5C2B6R9O0R7,2017129,항만기본계획 시행계획 수립 및 보고 절차를 개선함,"항만계획, 더 투명하고 효율적으로!"
20,한국수출입은행법 일부개정법률안,PRC_A1D8I0H9R1D0M1V6V0G8Q4Q7K2Z7E4,2015410,수출입은행 해외 현지법인 출자 근거를 명확히 함,"수출입은행, 해외투자 더욱 투명하게!"
20,경륜·경정법 일부개정법률안,PRC_S1H9M0K4Y0V3H1D8V1C2V1R4M3X2Y8,2019557,벌칙 구성요건을 명확히 하고 불법행위 처벌 수준을 강화함,"불법행위, 더 강력하게 처벌! 안전한 사회 만들어요!"
20,폐기물관리법 일부개정법률안(대안),PRC_A1K9T0C7C1U8X1V5S2M0Q4J6Y7D8Y4,2023128,폐기물 부적정 처리 문제 해결을 위한 법률 개정을 추진함,"깨끗한 환경, 이제 법이 지켜요!"
20,항공안전기술원법 일부개정법률안,PRC_O1Z6B1I0Q2S4O1V7D5H6B3U8A4V1W7,2002873,행정법규의 과도하거나 과소한 행정형벌 규정을 국민권익위원회 권고안 기준으로 개선함,"과도한 행정벌, 이제 안녕!  국민 권익 보호 UP!"
20,국제항해선박 및 항만시설의 보안에 관한 법률 일부개정법률안,PRC_V1K6E1W1F2I3E1H6H0H3I0Q3W0Z2E5,2003797,항만시설 보안 강화를 위해 CCTV 설치 근거를 명시하고 운영 관리 지침을 마련함,항만 안전 더욱 UP! CCTV 확대 설치!
20,국가회계법 일부개정법률안,PRC_D1C6U0Q8I0X4D1D8X1U1D4H3R4E3D6,2001422,결산보고서에 세입세출결산 사업별설명서 첨부를 신설함,"재정 정보, 이젠 더 투명하게! 사업 설명서 추가!"
20,종자산업법 일부개정법률안(대안),PRC_Y1G6S1G1E2M8W1F6N4J6C5H9B5S5U3,2004202,종자 관리 및 육묘업 규제를 강화하고 우수품종상 시상 근거를 마련하며 국민기초생활 보장법 개정에 따른 수수료 면제 대상 기준을 변경함,"좋은 종자, 안전한 농업! 든든한 지원으로 풍년 농사!"
20,산림자원의 조성 및 관리에 관한 법률 일부개정법률안(대안),PRC_F1Q9U1N1K2S0T1K6R3I9K2Z5X2H8B0,2024026,법령 용어를 개정하고 산림사업법인 과징금 강제징수 절차를 신설함,"산림 보호, 더욱 강화됩니다!  불법행위, 강력 제재!"
20,첨단의료복합단지 지정 및 지원에 관한 특별법 일부개정법률안,PRC_D1U8K0U7S1Z0M1S7H1A7T1U0L6J7L5,2014324,기타공공기관 설치 근거 법률에 정관 관련 규정을 신설함,투명한 기타공공기관 운영! 정관 규정 신설!
20,저작권법 일부개정법률안(대안),PRC_K1U7H0C2A2V0X1J8Y5Z8B5T4R9X9L5,2005915,저작권 신탁 관리업자 및 저작권 대리 중개업자 결격사유에 피성년후견인과 피한정후견인을 포함하도록 법률을 개정함,저작권 보호 더욱 강화!  믿음직한 시스템으로 안전하게!
20,중소기업 인력지원 특별법 일부개정법률안,PRC_S1N6X0U7N1U8V1Y6R3J3B4U7H2M3V5,2000960,청년 고용 지원 연령 기준을 34세 이하로 상향함,"청년, 34세까지 취업 지원받자!"
20,양육비 이행확보 및 지원에 관한 법률 일부개정법률안(대안),PRC_G2T0V0A5P0S6I1J5X3N3Q3Q9J0D7X7,2024980,양육비 채무자에 대한 징수 및 정보제공 절차를 강화하고 운전면허 정지 처분을 추진함,양육비 안 받아도 걱정 끝! 운전면허까지 정지될 수 있어요!
20,한국수자원공사법 일부개정법률안,PRC_M1S6M1G0S2G4T1Q8P2L4L3Z8A0V2J2,2002882,행정법규의 과도하거나 과소한 행정형벌 규정을 국민권익위원회 권고안 기준으로 개선함,"과도한 행정벌, 이제 안녕! 국민 권익 보호 UP!"
20,곤충산업의 육성 및 지원에 관한 법률 일부개정법률안(대안),PRC_C1F8A1R1I2H8M1E7D2B5D1J7L5N8Z4,2017120,곤충산업 관련 신고 처리 절차를 명확히 규정하고 종자보급센터 설립 근거를 마련함,곤충산업 쑥쑥!  종자보급도 척척!
20,농어촌특별세법 일부개정법률안,ARC_K1S6J0N9F0L2Z2V0Y4L4P3F8V7Q6D3,2002114,농어촌특별세 비과세 대상에 중소기업 투자 및 고배당 기업 주식 배당소득을 추가함,"농어촌 활력 UP! 중소기업 투자, 배당소득 비과세!"
20,지방세외수입금의 징수 등에 관한 법률 일부개정법률안,ARC_G1Y9F0E9T2H7I1T5Y5D3V4O0L3E1K2,2022726,지방행정제재부과금 징수 및 정보시스템 운영을 개선함,지방세 징수 더 쉽고 투명하게!
20,학교용지 확보 등에 관한 특례법 일부개정법률안(대안),PRC_B1T7M0K2X2P0Z1X8K3J2G2J2Y0T4K5,2005909,학교용지부담금 부과대상 및 징수절차를 개선하고 특별회계 설치를 의무화함,"학교용지 확보, 이젠 더 쉽고 투명하게!"
20,장기공공임대주택 입주자 삶의 질 향상 지원법 일부개정법률안,PRC_W1D7M0X6H0F9Q1Y4U2H1S5R2C5A2R8,2007298,노후 공공장기임대주택 삶의 질 향상을 위한 5년 단위 기본계획 수립 시행 및 재정 지원 근거를 마련함,쾌적한 주거환경 조성!  임대주택 삶의 질 UP!
20,초·중등교육법 일부개정법률안,PRC_P1F6Z1Z2S0W8Q1D4E1K7S4J0R9C2K0,2004222,초중등교육 통계조사의 법적 근거를 마련함,"아이들 교육 정책, 더욱 투명하게!"
20,중소기업창업 지원법 일부개정법률안(대안),PRC_I1I8K0Y9W1X8G1E1E1B8L4M4Y5V5K6,2016537,창업 지원 대상 업종을 확대하고 창업기획자 등록 취소 및 지원 중단 시 3개월의 유예기간을 부여함,창업 지원 확대! 유예기간 3개월 더!
20,공인회계사법 일부개정법률안,PRC_J1W8Q0G4B1E6L1B7Z5M0O4Z3P3X6H4,2013080,회계법인 분할 및 분할합병 근거를 신설함,회계법인 분할? 더 투명하고 공정하게!
20,한국국제협력단법 일부개정법률안,PRC_K1U9U1J0I2Y8E1A0G4B6Q2V6G6R4M2,2023070,한국국제협력단법 목적 조항을 국제개발협력기본법과 일치하도록 개정함,"국제개발협력, 더욱 투명하고 효율적으로!"
20,장기등 이식에 관한 법률 일부개정법률안(대안),PRC_H1L7O0T9T2L0T1I7C0B8J0A2Z8A0E2,2009647,장기기증 관련 제도를 개선함,"장기기증, 더 쉽고 편하게! 생명 나눔 확대!"
20,개별소비세법 일부개정법률안,ARC_A1N6B0H9F0X2J2C0F4V4G1X1A2C4Z8,2002111,개별소비세 과세대상 및 세율을 조정하고 담배 세액 공제 사유를 확대함,"담배세 줄이고, 부담 덜어드려요!"
20,자동차손해배상 보장법 일부개정법률안(대안),PRC_S1J7T0S9Z2R0F1P7C4Q3V2G0R9M0X5,2010078,폐차 및 폐기 자동차의 의무보험 해지 절차를 신설하고 뺑소니 사고 운전자에 대한 보험회사의 구상권 청구를 가능하게 함,"뺑소니 사고, 이젠 잡는다!  피해자 보호 강화!"
20,개별소비세법 일부개정법률안,ARC_L1N7W0H9U0R1E1F7E2U0K2C3I2C5E2,2008994,유연탄 개별소비세 세율을 인상함,"탄소중립, 한 걸음 더! 유연탄 세금 인상!"
20,환자안전법 일부개정법률안(대안),PRC_G1P9J0A3F2L6Q1D4O0C2K0Z9P3S0B0,2023996,중대한 환자안전사고 보고체계를 강화함,"환자 안전, 더욱 확실하게!  철저한 사고 보고로 안심하세요!"
20,풍수해보험법 일부개정법률안(대안),PRC_P1A8W0X9K1V1I1Y9E4X7L4R3E3V4Y5,2017156,소상공인 풍수해보험 가입을 명확히 규정하여 소상공인 피해복구를 지원함,소상공인 풍수해 걱정 끝!  든든한 보험으로 피해복구 지원!
20,학교도서관진흥법 일부개정법률안(대안),PRC_H1U7B1O1L2L9O1R0Z4F6D0R6X0M4L1,2011638,초중고등학교 도서관에 사서교사 등을 의무 배치함,더 나은 사회를 위한 변화!
20,중소기업제품 구매촉진 및 판로지원에 관한 법률 일부개정법률안,PRC_Y1V7Q0S6K2C2S1H4I0B8R3X2M6Z1B7,2007516,시험연구원의 성능검사 지연 시 지정취소 또는 업무정지 사유를 추가함,시험 결과 더 빨라져요!  지연 시 지정 취소!
20,주한미군 공여구역주변지역 등 지원 특별법 일부개정법률안,PRC_X1V7S0O2P0U9Z1Y6T4K7C4I9U5R4X0,2005523,공유수면관리법을 공유수면 관리 및 매립에 관한 법률로 변경함,바다를 더 잘 관리해요!  법 개정으로 더 효율적인 해안 관리!
20,농약관리법 일부개정법률안(대안),PRC_J1P8H1R1I2V8N1B6G0L0Z5W0S1O5Q3,2017160,신고 민원 처리 절차를 명확히 규정하고 농약 안전 정보 시스템을 구축 운영함으로써 농약 유통 관리 및 농산물 안전성을 확보함,"안전한 농산물, 확실하게 지켜드려요!"
20,화물자동차 운수사업법 일부개정법률안(대안),PRC_F1J8B0C3U1C6R1Q7R1U4U5A8D3Y2J7,2012765,화물차주 권익 보호 및 안전운임제 등을 포함한 화물자동차 운송 관련 제도를 개선함,"화물차주님, 안전하고 행복한 운행하세요!  👍"
20,자본시장과 금융투자업에 관한 법률 일부개정법률안(대안),PRC_Z1I8Y1V1E2F7S1J3F3B4R4I4Q3D6U7,2017151,금융상품 약관 사전신고제를 사후보고제로 전환하고 유사투자자문업자 제도를 강화함,"금융상품 약관, 더 쉽고 편리하게!  소비자 보호 강화!"
20,제2연평해전 전사자 보상에 관한 특별법안(대안),PRC_Y1H7Y1Z2B1M2E1W3Y1A7S4A5Y6P3L1,2010970,제2연평해전 전사자 유족에게 전사 기준에 상응하는 보상금을 지급하는 특별법을 제정함,"제2연평해전 전사자 유족,  보상금 지원 확대!"
20,산지관리법 일부개정법률안(대안),PRC_H1V7R1P2J0Q1U1W0H2O3P3G3R0O2P8,2012206,산지경관 관리체계를 강화함,"산의 아름다움, 더욱 빛나게! 산지경관 보존 강화!"
20,학교안전사고 예방 및 보상에 관한 법률 일부개정법률안(대안),PRC_D1V8S1Y1T1G4L2W2F5E4U5R1B4G2Y4,2016889,과태료 부과 절차 규정을 삭제하고 용어를 개선하며 관련 과태료를 상향 조정함,과태료 규정 개선! 더욱 엄격하고 투명하게!
20,전통시장 및 상점가 육성을 위한 특별법 일부개정법률안(대안),PRC_Z1J8L0S3C1W9L1I8E4J7X5C9P7T8Z4,2014545,전통시장 안전 관리 및 시설 현대화 지원 체계를 강화함,전통시장 더 안전하고 편리하게! 시설 현대화 지원 확대!
20,피후견인 결격조항 정비를 위한 3개 법률의 일부개정에 관한 법률안,ARC_U1B9M1H2F0Z2B1H6B2D4Y4M7L0G3P1,2024142,재외동포재단법 등 3개 법률의 임원 결격사유에서 피후견인을 삭제함,"재외동포 여러분, 더 많은 기회가 열립니다!"
20,의료법 일부개정법률안(대안),PRC_L1F9Z0Z3C2L6Q1K3M5W6Q1R8K7O5K2,2019601,의료인 폭행죄 처벌을 강화하고 의료기관 안전 강화 방안을 마련함,의료인 폭행 NO! 안전한 진료환경 조성!
20,제대군인지원에 관한 법률 일부개정법률안,PRC_X1E7F0E9F0D1V1Z5Q5S2A1O8I2G0X1,2008970,결혼 목적 약취유인 인신매매 범죄자에 대한 법 적용 제외 규정을 강화함,"결혼 목적 인신매매, 더 강력히 처벌!"
20,노인복지법 일부개정법률안,PRC_D1V6D1V1L1Q6O1W6R2L8O5R9Q4M2G7,2003623,노인학대 예방 및 피해노인 보호를 위한 법적 근거를 마련함,어르신 안전 지킴이! 학대 예방법 강화!
20,하도급거래 공정화에 관한 법률 일부개정법률안(대안),PRC_I1Q8Q0Q3S1Q3P0Z7X4N2R4Z7L6M8H4,2012764,원사업자의 기술자료 유출 및 부당 요구 행위를 금지하고 수급사업자 보호를 강화함,수급사업자 보호 강화! 기술자료 유출 NO!
20,부동산등기법 일부개정법률안,PRC_F1E6W1V0G2H7T1W7I4S9J4W5F5P9V6,2002970,부동산등기법상 건물표시변경등기 의무 위반 과태료 규정을 삭제함,건물등기 간편해져요! 과태료 걱정 끝!
20,동물보호법 일부개정법률안(대안),PRC_Z1L9Y0X4L0N5W1M7Y1B9F1L5R7B5F3,2021795,반려동물 관련 영업 신고 수리 절차를 명확히 하고 동물을 이용한 도박 광고를 금지하며 위반 시 벌금을 부과하는 법적 근거를 마련함,"반려동물 영업, 더 투명하게! 불법 도박 광고 OUT!"
20,토지이용규제 기본법 일부개정법률안,PRC_H1B6C1E1D1E0I1Q7F2K8G1F6X2U0N1,2003467,금치산 및 한정치산 제도를 폐지하고 성년후견 제도를 신설함,성년후견으로 더 나은 삶을!  제도 개선 환영!
20,대도시권 광역교통 관리에 관한 특별법 일부개정법률안,PRC_L1Y9E1A0C2T2U1Q7H4A4Z5N1H5C5I4,2022952,광역교통특별대책지구 지정 및 광역교통지원센터 설치 근거를 신설함,교통 걱정 끝! 쾌적한 교통 환경 조성!
20,지방재정법 일부개정법률안,ARC_F1I7H0F2V0W3K1Y0T4F6N4X5D3Y5M6,2005409,지방자치단체 재정안정화기금 설치 근거 및 사용 한도를 명확히 함,"지자체 살림 살찌우고, 주민 혜택 UP!"
20,증권거래세법 일부개정법률안,ARC_S1R7L0O9W0C1G1G1E3B1F2W4O5K7H8,2008934,주권 또는 지분 양도 시 증권거래세 신고납부 기한을 변경함,"주식 양도세 신고, 더 널널하게! 기한 연장!"
20,어린이 식생활안전관리 특별법 일부개정법률안,PRC_Q1J7B0X2N1H5L1L4N3V5K3G4M6R8O4,2005646,학교 내 고카페인 함유 식품 판매를 금지함,아이들 건강 지킴이! 학교 내 고카페인 음료 판매 금지!
20,학교보건법 일부개정법률안,PRC_Y1N6X1F0E2A8N1N8F4H9Y5S2L3F5R8,2003053,유치원의 응급처치 교육을 의무화하고 교육횟수를 연 2회 이상으로 확대함,아이들의 안전을 위해! 유치원 응급처치 교육 강화!
20,주민소환에 관한 법률 일부개정법률안,PRC_A1V8K0I1Y1B8P1H4O2B5M4M0M4I1H1,2011441,주민소환에 관한 법률에서 부녀를 여성으로 변경함,"주민소환, 여성도 참여 가능! 더욱 공정해졌어요!"
20,의사상자 등 예우 및 지원에 관한 법률 일부개정법률안,PRC_W1E8R0X6Z2X1V1J4E3G5N4G4O3I3L2,2013975,의사상자심사위원회 민간위원 과반수 구성 법적 근거를 마련함,"의사상자 예우, 민간 눈높이로 UP!"
20,재외공관 공증법 일부개정법률안,ARC_R1F6R0A6S3L0C1Y5B1S3F0F6R3N6X2,2000596,재외공관 공증 업무의 신뢰성을 높이기 위해 관련 제도를 개선함,"해외 공증, 이제 더욱 안전하고 신뢰있게!"
20,地方稅에關한臨時措置法 폐지법률안,PRC_K1M7L0Q6G0S8C1Y5U3Q3S4B5J8C2G5,2007275,불필요한 법률을 삭제함,"쓸데없는 법 없애고, 삶이 편해져요!"
20,근로복지기본법 일부개정법률안,ARC_Q1D6F0Y9V2F1U1A3T4J7C2Y9G9I9C4,2002369,비상장법인의 우리사주 환매수 의무화 및 회사 인수 관련 규제를 완화함,우리사주 투자 안전하게!  규제 완화로 기회 확대!
20,건축법 일부개정법률안,ARC_Q1H7B0T8U2I8U1N4J4T5E2P7Z7V2M1,2008752,건축허가 협의 회신 기간을 15일로 정하고 미회신시 협의 완료로 간주하는 제도를 신설함,"건축허가, 15일 안에 답변!  빨라진 속도에 놀라세요!"
20,항만운송사업법 일부개정법률안(대안),PRC_Y1W8H1F1T2K8Z1A7J5W4V3I0W6R8W4,2017125,검수사 등 자격시험 결격사유 기준일을 시험 시행일로 명시하고 신고수리 간주제도를 도입하며 선박수리업체 영업구역을 전국 무역항으로 확대함,"선박수리업, 전국 무역항으로 확대!  자격시험도 더 편리하게!"
20,국산밀산업 육성법안,PRC_R1K7H1L2G2K1V1R6G4V4O0Z6F4T9Z5,2010960,국산밀 산업 육성을 위한 법률을 제정함,"국산 밀 빵, 더 맛있게! 든든하게! 국산 밀 산업 육성!"
20,소상공인 보호 및 지원에 관한 법률 일부개정법률안,PRC_M1M6T0I6W2H3U1H3S1Q0Q1E5P2S1H7,2000431,소상공인의 전자상거래 활성화 및 스마트 결제시스템 도입 지원 사업을 신설함,"소상공인, 스마트 결제로 매출 UP!  🚀"
