BILL_NAME,BILL_NO,summary
소방공무원 보건안전 및 복지 기본법 일부개정법률안,2200775,소방공무원에 대한 보건안전 및 복지에 관한 정책수립과 그 시행 등에 관한 사항을 심의하기 위하여 소방청에는 소방공무원 보건안전 및 복지 정책심의위원회(이하 “위원회”라 한다)를 두고 있음. 위원회는 소방공무원 보건안전 및 복지 기본법(이하 “소방공무원복지법”이라 한다)에서 위원장을 포함하여 10명 이내로 구성하도록 규정하고 있어 위원장(소방청 차장) 당연직 3명과 임명직 3명을 제외한 민간위원의 참여는 3명으로 제한되고 내부위원 중심의 심의가 이뤄질 가능성이 높은 실정임. 또한 소방공무원복지법에서는 보건 안전 및 복지라는 각기 다른 전문분야를 하나의 위원회에서 심의하도록 하여 위원회의 전문적이고 효율적 운영을 저해하고 있음. 이에 위원회의 구성인원을 15명으로 확대하여 민간위원의 참여를 늘리고 위원회에 분과위원회를 두어 분야별 전문성 향상 및 효율적인 운영이 가능하도록 관련 규정을 마련하고자 함(안 제9조).
"후쿠시마 원전 오염수 해양투기 1년, 국민과 수산업계 보호를 위한 일본 정부의 오염수 해양투기 중단 및 한국 정부 대응 촉구 결의안",2203319,
국가유산수리 등에 관한 법률 일부개정법률안(대안),2204302,국가유산수리기술위원회 위원의 위촉 대상 분야를 확대하여 위원회의 전문성을 제고하고 국가유산수리기능자의 자격 인정 대상을 무형유산 보유자 이외에 무형유산 전승교육사에게까지 확대하여 국가유산수리의 전문성을 높이고 무형유산 전승 활성화를 도모하려는 것임. 또한 경미한 국가유산수리의 경우 전문공사 공동수행 대상에서 제외하도록 관련 규정을 명확히 하고 부실 국가유산 수리업체에 대한 제재를 강화하는 한편 행정처분의 예외사유인 등록요건이 일시적으로 미달되는 경우를 확대하여 국가유산수리 종사자의 권리 보호 등에 기여하려는 것임. 아울러 국가유산수리기술자 자격을 취득할 수 없는 연령 결격사유를 19세 미만에서 18세 미만으로 완화하여 청년들의 사회 참여 기회를 늘리고 국가유산의 보존에 영향을 미치지 아니하는 경미한 국가유산수리를 하려는 경우 설계승인을 받지 않도록 함으로써 국민 불편을 해소하고 행정 효율성을 제고하려는 것임. 대안의 주요내용 가. 국가유산수리기술위원회 위원의 위촉 요건 대상 분야를 확대함(안 제4조의2). 나. 국가유산의 보존에 영향을 미치지 않는 경미한 국가유산 수리의 경우 국가유산수리업자와 전기·정보통신·소방 등의 전문공사업자가 함께 수리하여야 하는 대상에서 제외함(안 제5조의2). 다. 국가유산수리기술자 자격 취득 연령 결격사유 기준을 19세에서 18세 미만으로 완화함(안 제9조). 라. 국가유산수리기능자 자격 인정의 대상을 무형유산 전승교육사까지 확대함(안 제11조). 마. 벽지를 바르거나 안내판 설치·보수 등 전문적인 수리기술이 필요하지 않은 국가유산수리의 경우 국가유산청장 등으로부터 설계승인을 받지 않도록 행정절차를 간소화함(안 제33조의2제1항 단서 신설 등). 바. 국가유산수리업자등이 등록요건에 미달하여 최근 5년간 3회 이상 영업정지 처분을 받고 다시 등록요건에 미달하여 영업정지 처분 사유가 발생하거나 「부가가치세법」에 따라 폐업 신고 또는 사업자 등록이 말소된 경우에 국가유산수리업자등의 등록을 취소하도록 하는 한편 자본금 이외의 기술능력 시설 등의 등록요건이 일시적으로 미달한 경우에도 행정처분을 받지 않도록 함(안 제49조제1항제4호의2신설 등)
저작권법 일부개정법률안(대안),2208479,현행법은 학교의 교육 목적을 위하여 공표된 저작물 등을 이용하려는 자는 보상금을 해당 저작재산권자에게 지급하도록 하고 있으며 보상을 받을 권리는 문화체육관광부장관이 지정하는 단체(이하 “지정단체”라 함)를 통하여 행사되도록 하고 있음. 지정단체는 보상금 분배 공고를 한 날부터 5년이 지난 미분배 보상금을 저작권 보호 등 공익 목적의 다른 사업을 위해 사용할 수 있음에 따라 지정단체가 적극적으로 보상금을 분배하지 않아 상당한 규모의 미분배 보상금이 발생하고 있는 상황임. 이에 공익 목적을 위한 미분배 보상금 사용을 허용하는 기준을 5년에서 10년으로 조정하여 보상금의 적극적 분배를 유도하고 저작재산권자의 권리를 강화하려는 것임(안 제25조제10항). 그 외에도 과도한 형벌 규정으로 인한 민간 경제활동의 어려움을 경감하기 위하여 저작재산권자의 표지를 하지 아니한 배타적발행권자 등에 대하여 종전에는 500만원 이하의 벌금에 처하도록 하였으나 앞으로는 500만원 이하의 과태료를 부과하도록 하려는 것임(안 제138조 및 제142조).
문화산업진흥 기본법 일부개정법률안,2203136,디지털콘텐츠 산업의 급속한 성장이 지속되는 가운데 인간의 오감을 극대화하여 실제와 유사한 경험을 제공하는 실감형 콘텐츠에 대한 관심이 높아지고 있음. 정보통신 기술을 기반으로 하는 디지털콘텐츠 산업이 빠르게 발달하고 있는 가운데 문화산업의 진흥과 육성을 위한 지원 근거를 두고 있는 본 법률에서도 신기술이 적용된 디지털문화콘텐츠 산업을 지원하기 위한 근거 마련이 시급한 상황임. 이에 빠르게 발전하고 있는 실감형 콘텐츠를 통한 문화산업을 지원할 수 있도록 그 근거를 법률에 명시하려는 것임(안 제2조제5호).
모두를 위한 통합교육 촉구 결의안,2206490,
각급 법원 판사 정원법 일부개정법률안,2205380,현행 판사정원법에 따른 현재 법관 정원은 3 214명으로 2014년 후 10년째 묶여있음. 그 사이 사건은 복잡해지고 변호사는 폭증하고 공판중심주의가 강화되었음. 사법정책연구원의 「재판의 지연 실태와 신속화 방안」에 따르면 2019년 기준 법관 1인당 민ㆍ형사 본안 사건 수는 독일의 약 5.17배 일본의 약 3.05배 프랑스의 약 2.36배에 이름. 전문가들은 우리나라의 법관 수가 각국의 사법제도가 다르다는 점을 고려하더라도 다른 선진국에 비해 압도적으로 부족한 상황임을 지적하고 있음. 이에 변화하는 사법 환경에 효과적으로 대응하고 신속하고 공정한 재판을 통해 국민의 재판받을 권리를 실효적으로 보장하기 위해 판사의 정원을 3 214명에서 3 584명으로 증원하되 2025년부터 2029년까지 5년에 걸쳐 2025년에는 90명 2026년에는 80명 2027년에는 70명 2028년에는 70명 2029년에는 60명을 각각 증원하려는 것임(안 제1조).
문화기본법 일부개정법률안,2200447,김대중 제15대 대통령은 문화예술에 대해 ‘지원은 하되 간섭은 하지 않는다’라고 밝혔고 이 정치철학은 김대중 정부 이후 대부분 정권에서도 정부의 행정력이 문화예술 분야에 간섭을 자제해왔음. 그러나 지난 박근혜 정부 당시 문화예술계의 문화예술인에 대해 정부의 지원을 끊거나 검열 및 불이익을 줄 목적으로 비밀리에 작성한 ‘블랙리스트’ 사건으로 2017년 7월 문체부와 문화예술계는 ‘문화예술계 블랙리스트 진상조사 및 제도개선위원회’를 설치하였고 2018년 6월 책임 규명 권고안을 심의ㆍ의결하여 문체부는 수사 의뢰와 징계절차에 착수해 총 85개의 과제를 제시하면서 문화행정의 개선을 위해서 “참여와 협치의 원칙”과 “정보공개의 책임”을 「문화기본법」에 명시하도록 권고한 바 있음. 윤석열 제20대 대통령도 영화배우를 비롯한 예술인과의 만남에서 ‘지원은 하되 간섭은 하지 않는다’라고 문화예술분야에 대한 국정철학을 밝혔음. 그러나 지난 2023년 부천에서 열린 학생만화 공모전에서 금상을 수상한 고등학생의 작품에 대해 문화체육관광부는 해당 작품 선정을 두고 관련 기관에 엄중 경고와 후원명칭 사용 금지에 대한 사건이 발생함. 이뿐만이 아니라 윤석열 정부 출범 이후 지방자치단체에서도 문화예술 검열 논란이 끊이질 않고 있어 문화예술계에서는 ‘블랙리스트’의 악몽이 재현되는 것이 아닌지 걱정하고 있음. 이에 문화행정에 협치 기반을 조성하고 정책과정의 투명성ㆍ신뢰성ㆍ객관성을 제고와 「예술인의 지위와 권리의 보장에 관한 법률」 제2장 예술표현의 자유 보장 규정에 따라 문화예술인의 자유를 보장할 필요가 있음. 이에 국가와 지방자치단체의 책무에 지원은 하되 간섭하지 않도록 명시하여 문화예술의 표현의 자유를 침해하지 않도록 하고자 함(안 제5조제1항 신설).
항공사업법 일부개정법률안(대안),2207306,현행법은 항공운송사업자에게 운송 불이행 및 지연 등으로 항공교통이용자를 보호하기 위한 피해구제 절차 및 처리계획(피해구제계획)을 수립하고 이행하도록 규정하면서 기상악화 안전운항을 위한 정비로서 예견하지 못한 정비 천재지변 항공기 접속 관계 등의 불가항력적인 사유를 항공운송사업자가 증명하는 경우에는 예외로 하고 있으나 불가항력적인 사유에 대한 증명뿐만 아니라 항공교통이용자 보호기준의 준수를 면책 요건을 강화하고 국토교통부장관으로 하여금 항공교통이용자 보호기준의 고시를 의무화하는 것임(안 제61조제1항 단서 및 같은 조 제8항). 또한 항공운임 등 총액에 대한 정보제공 실태를 정기 또는 수시로 점검하도록 하고 점검결과를 소비자들에게 공개할 수 있도록 함으로써 항공운송사업자 등의 허위 또는 과장 광고로 인한 소비자 피해 방지에 기여하려는 것임(안 제62조제7항ㆍ제8항 신설 및 제60조제12항).
연금개혁 특별위원회 구성의 건,2209175,
콘텐츠산업 진흥법 일부개정법률안,2200022,불안정한 지위로 인해 창작자들이 불합리한 대우를 받지 않게 보호하자는 취지로 만들어진 표준계약서는 법적 구속성이 없어 분야별 표준계약서가 만들어져 있음에도 불구하고 사용률이 저조한 상황임. 「2021년 콘텐츠산업 10대 불공정행위 실태조사」에 따르면 문화체육관광부에서 고시하고 있는 표준계약서를 활용하거나 사안별로 활용하고 있는 비율은 42.6%이고 구두계약만 진행하는 경우도 18.5%인 것으로 나타남. 이에 현장에서의 표준계약서 사용률 제고를 위해 표준계약서를 사용하는 콘텐츠사업자에 대하여 콘텐츠산업에 관한 재정지원을 할 수 있도록 해 산업 내 창작자들의 고용안전망을 강화하고 표준계약서의 실효성을 높이려는 것임(안 제25조제2항 신설 등).
선박의 입항 및 출항 등에 관한 법률 일부개정법률안,2201669,무역항의 수상구역 내에 있는 항구나 포구에 출입항하려는 어선은 「어선안전조업법」에 따라 해양경찰서 소속 파출소 등 신고기관에 의무적으로 출입항 신고를 하고 있는 점을 고려하여 「어선안전조업법」에 따른 출입항 신고 대상 어선은 이 법에 따른 무역항 수상구역 등에서의 출입 신고 대상에서 제외된다는 점을 명확히 하려는 것임.
국어기본법 일부개정법률안,2207472,현행법은 국가가 국민이 각 분야의 전문용어를 쉽고 편리하게 사용할 수 있도록 표준화하고 체계화하여 보급하도록 하고 이를 위하여 중앙행정기관에 전문용어 표준화협의회를 두도록 하고 있음. 그러나 여전히 국토교통부 국가보훈부 등 중앙행정기관 중 전문용어 표준화협의회가 구성되지 않은 곳이 있어 해당 규정에 실효성을 의심받고 있음. 또한 전문용어표준화 협의회가 구성되었더라도 회의가 개최되지 않는 경우가 많음. 따라서 급변하는 사회에서 전문용어에 대한 국민의 이해도를 높이고 정부와 국민 간의 원활한 소통을 위하여 현행 제도의 실효성을 제고할 필요가 있다는 의견이 있음. 이에 중앙행정기관에 전문용어 표준화협의회의를 두도록 하고 회의를 연 1회 이상 의무적으로 개최하도록 하여 전문용어를 적극적으로 표준화함으로써 국민들이 전문용어를 쉽고 편리하게 사용할 수 있도록 하고 국어문화를 보존하는데 기여하려는 것임(안 제17조제2항 제3항 신설 등).
조세특례제한법 일부개정법률안(대안),2208512,기업의 연구인력개발과 투자활동을 지원하기 위하여 국가전략기술 범위에 미래형 운송수단과 인공지능을 추가하고 임시투자세액공제의 적용기한을 2025년 12월 31일이 속하는 과세연도까지 연장하는 한편 소상공인의 노후 지원 등을 위하여 사업소득금액 4천만원 초과 6천만원 이하인 자의 공제부금 소득공제 한도를 확대하려는 것임. 또한 2014년 12월 31일 이전에 신규 등록된 노후자동차를 폐기하고 2025년 6월 30일까지 신차를 구입 후 신규등록하는 경우 신차 1대에 한하여 한시적으로 개별소비세를 감면하려는 것임. 대안의 주요내용 가. 국가전략기술의 범위 확대(안 제10조제1항) 국가전략기술의 범위에 미래형 운송수단과 인공지능을 추가함. 나. 임시투자세액공제의 적용기한 연장(안 제24조제1항) 임시투자세액공제의 적용기한을 2025년 12월 31일이 속하는 과세연도까지 연장함. 다. 공익사업용 토지 등에 대한 양도소득세 감면율 및 종합한도 상향(안 제77조 및 제133조) 당사자의 자발적인 의사와 관계없이 협의·수용되는 공익사업용 토지 양도에 대한 보상을 강화하기 위하여 유형별 양도소득세 감면율을 5%p 상향하고 종합한도를 연간 1억원에서 2억원으로 5년간 2억원에서 3억원으로 상향 조정함. 라. 소기업ㆍ소상공인 공제부금에 대한 소득공제 한도 확대 등(안 제86조의3제1항 및 제4항) 소기업ㆍ소상공인 공제부금에 대한 소득공제 한도를 사업소득금액이 4천만원 초과 6천만원 이하인 경우 400만원에서 500만원으로 상향 조정하고 공제부금 납입월수가 120개월 이상인 가입자가 경영악화로 인해 공제계약을 해지하는 경우 환급금을 기타소득이 아닌 퇴직소득으로 분류함. 마. 노후자동차에 대한 개별소비세의 한시적 감면(제109조의2) 2014년 12월 31일 이전에 신규 등록된 노후자동차를 2024년 12월 31일 현재 소유한 자가 해당 노후자동차를 폐기하고 2025년 6월 30일까지 신차를 구입 후 신규등록하는 경우 신차 1대에 한하여 개별소비세액의 100분의 70을 100만원 한도로 감면함.
